song_id	name
0	I Feel Fine
1	The French Song (Quand Le Soleil..)
2	Pretty Woman
3	Dolce Paola
4	Harlekino
5	Mijn Dagboek
6	In Der Mondhelle Nacht
7	I Could Easily Fall (In Love With You)
8	The Wedding (La novia)
9	Time Is On My Side
10	There's A Heartache Following Me
11	Ik Moet Altijd Weer Opnieuw Aan Je Denken
12	Pretty Paper
13	Si J'etais Le Fils Du'n Roi
14	Baby Love
15	Tell Me
16	All Day And All Of The Night
17	Always Something There To Remind Me
18	Hup Hup Hup
19	Ringo
20	Little Red Rooster
21	Vergangen Vergessen Vorüber
22	Where Did Our Love Go
23	Träume Der Liebe
24	Kleine Annabell/ Kenn Ein Land
25	If I Fell
26	Down Town
27	Everything's Allright
28	Jezebel
29	Schneemann
30	Come See About Me
31	Ik Heb Genoeg Van Jou
32	Adalita
33	Una Lacrima Sul Viso
34	Bianca Rosa
35	I Won't Forget You
36	Come A Little Bit Closer
37	Sha La La
38	Maria Elena
39	I Should Have Known Better
40	I'm Gonna Be Strong
41	Du Darfst Nicht Weinen
42	I Understand
43	Ik Vraag 't Aan De Sterren
44	Ni Nanai
45	Noordzeestrand
46	Saturday Night At The Movies
47	Ich Will Immer Auf Dich Warten
48	Genie With The Light Brown Lamp
49	Crazy Arms/ Colinda
50	Lovely, Lovely (Loverly, Loverly)
51	Les Filles Du Bord De Mer
52	Let Kiss / Letkis / Letka Jenka / Letkis Jenka
53	Bread And Butter
54	Frater Venantius
55	Girl Don't Come
56	Yeah, Yeah
57	What Have They Done To The Rain
58	Bergen Van Tirol
59	De Schommelstoel
60	Somewhere
61	Cast Your Fate To The Wind
62	Lemon Tree
63	Melancholie
64	Iedere Avond
65	Cinderella Baby
66	Das War Mein Schönster Tanz
67	Küsse Nie Nach Mitternacht
68	De Voddenraper Van Parijs
69	Eight Days A Week/ Baby's In Black
70	You've Lost That Lovin' Feelin' ((1965)) / You've Lost That Lovin' Feelin' ((1965)) / You've Lost That Lovin' Feelin' ((1965)) / You've Lost That Lovin' Feeling ((1988))
71	Patsy
72	Keep Searchin' (we'll follow the sun)
73	Hello Josephine
74	See See Rider
75	Go Now!
76	She Was An Angel/ Another Love Affair
77	Like A Child
78	Tired Of Waiting For You
79	Geweldig
80	Goodnight
81	Ploem Ploem Jenka
82	I'll Never Find Another You
83	The Birds And The Bees
84	The Last Time
85	Red Roses For A Blue Lady
86	No Reply/ Rock And Rollmusic
87	Ik Heb M'n Hart Op Katendrecht Verloren
88	Het Spel Kaarten
89	Send Me The Pillow
90	Don't Let Me Be Misunderstood
91	Stoppin' In Las Vegas
92	Ode Aan Jim Reeves
93	Heart Of Stone [EP]
94	Goodbye My Love
95	Poupée De Cire Poupée De Son
96	La Nuit
97	Do The Clam
98	The Minute You're Gone
99	I Apologise
100	Stop! In The Name Of Love
101	It's Gone
102	Don't Ha Ha
103	It's Not Unusual
104	N'avoue Jamais
105	Ticket To Ride
106	Vlooiencircus
107	Goldfinger
108	Vanavond Om Kwart Over Zes Ben Ik Vrij
109	Ev'rybody's Gonna Be Happy
110	Se Piangi, Se Ridi
111	Concrete And Clay
112	Jolie Jacqueline
113	That'll Be The Day
114	For Your Love
115	Bring It On Home To Me
116	Bumble Bee
117	Catch The Wind
118	True Love Ways
119	King Of The Road
120	A World Of Our Own
121	Do The Freddie
122	Ann-Louise
123	Elle...
124	Subterranean Homesick Blues/ The Times They Are A-Changin'
125	Road Runner
126	Goodbye To Love
127	Wooly Bully
128	Santo Domingo / Santo Domingo / Fernando, Alfredo En José (Santo Domingo)
129	Long Live Love
130	La Danse De Zorba ((1965)) / Zorba Le Grec ((1965)) / Zorba De Griek ((1965)) / Zorba's Dance ((1974))
131	Dat Is 't Einde / Wat Is Het Leven? / Dat Is 't Einde!
132	The Price Of Love
133	Crying In The Chapel
134	Il Silenzio / Abschiedsmelodie (Il Silenzio) / Il Silenzio
135	Set Me Free
136	Mrs. Brown You've Got A Lovely Daughter
137	Help Me, Rhonda
138	Mr. Tambourine Man
139	Colours
140	Darling, Good Night
141	On My Word
142	Got Live If You Want It! [EP]
143	Verboden Vruchten
144	I'm Alive
145	Mit 17 Hat Man Noch Träume
146	Küsse Unterm Regenbogen
147	J'ai Pleuré
148	Anyway, Anyhow, Anywhere
149	5000 Meilen Von Zu Haus'/ Adios Mexico
150	Looking Thru The Eyes Of Love
151	Cara Mia
152	(Say) You're My Girl
153	I Don't Want To Go On Without You
154	Bring A Little Sunshine (To My Heart)
155	Cry To Me
156	Sophietje
157	Greensleeves
158	Help!
159	To Know You Is To Love You
160	This Strange Effect
161	Tossing And Turning
162	Heart full Of Soul
163	Talisman
164	(Such An) Easy Question
165	Shakin' All Over
166	(I Can't Get No) Satisfaction
167	You've Got Your Troubles ((1965)) / You've Got Your Troubles/ This Golden Ring ((1974))
168	He's Got No Love
169	I'll Never Get Over You
170	What's New Pussycat?
171	Zwaluw, Ach Zwaluw
172	Ju Ju Hand
173	We've Gotta Get Out Of This Place
174	Like A Rolling Stone
175	I Got You Babe
176	All I Really Want To Do
177	See My Friend
178	I'm Henery The Eighth I Am
179	Catch Us If You Can
180	Angel
181	Unchained Melody / Unchained Melody - Original Version From The Movie Ghost
182	The Universal Soldier [EP]
183	The One In The Middle
184	That's The Way
185	Wie Heeft De Sleutel Van De Juke-Box Gezien?
186	Summer Nights
187	Don't Make My Baby Blue
188	California Girls
189	Down In The Boondocks
190	Feyenoord-Polonaise
191	Ride Away
192	Il Mondo
193	Everyone's Gone To The Moon
194	Eve Of Destruction
195	Please Go
196	I'll Go Crazy
197	Aline
198	Shame And Scandal In The Family!!!
199	Als Ik De Golven Aan Het Strand Zie
200	Look Through Any Window
201	Maria
202	Capri, C'est Fini
203	Laugh At Me
204	Baby Don't Go
205	Zo Maar Een Soldaat (The Universal Soldier) / Zo Maar Een Soldaat
206	Cadillac / Cadillac / Brand New Cadillac
207	Love Is Strange
208	Don't Let The Stars Get In Your Eyes
209	Dear John
210	Hang On Sloopy
211	The "In" Crowd
212	Yesterday
213	People
214	Here It Comes Again
215	Een Meisje Van 16 (A Young Girl Of Sixteen)
216	Action
217	You've Got To Hide Your Love Away
218	Can I Get It From You
219	Wasted Words
220	Wie, Is Wie, Groot Schandaal In Onze Familie
221	Early Bird
222	A Well Respected Man
223	Ring Dang Doo
224	Get Off Of My Cloud
225	Yesterday Man
226	Positively 4th Street
227	Varka Sto Gialo
228	Keep On Dancing
229	Little Things
230	My Generation
231	Still I'm Sad
232	Baby, Baby, Balla, Balla!!! / Balla, Balla
233	It's My Life
234	The Carnival Is Over
235	I'm Gonna Take You There
236	Turn! Turn! Turn!
237	1-2-3
238	Marmor, Stein Und Eisen Bricht / Marmer, Staal En Steen Vergaan
239	You're The One
