,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
0,0,I Feel Fine,['I Feel Fine'],0,The Beatles,['The Beatles'],['The Beatles'],I Feel Fine - Remastered 2015,spotify:track:0Gm34HBxrXlaAf1jdJMjx2,spotify:album:5ju5Ouzan3QwXqQt1Tihbh,['spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'],False,56.0
1,1,The French Song (Quand Le Soleil..),"['The French Song (Quand Le Soleil..)', 'The French Song ', 'Quand Le Soleil..', 'The French Song Quand Le Soleil..']",1,Lucille Starr,['Lucille Starr'],['Lucille Starr'],The French Song,spotify:track:4HUKN6pphF8ES2G4qRSADr,spotify:album:3UJ53cs8sG5UXOMMn1YUvo,['spotify:artist:4RNkBRL7PGCeV9Ka4J3f8D'],False,30.0
2,2,Pretty Woman,['Pretty Woman'],2,Roy Orbison,['Roy Orbison'],['Roy Orbison'],"Oh, Pretty Woman",spotify:track:52HAHV1j93s5B8GoTNI7DJ,spotify:album:48CvRZSBT0FbOHKLFfHy0n,['spotify:artist:0JDkhL4rjiPNEp92jAgJnS'],False,65.0
3,3,Dolce Paola,['Dolce Paola'],3,Adamo,['Adamo'],['Adamo'],Dolce Paola,spotify:track:0KMAeJK3CvG52XPpMAJjWF,spotify:album:4VW7WEfGaGRGvBL2KylKrY,['spotify:artist:26ycUCO6mpGAZPw9yHzhon'],False,28.0
4,4,Harlekino,['Harlekino'],4,Imca Marina,['Imca Marina'],['Imca Marina'],Harlekino,spotify:track:3hWAY20gL1X8kKEeJ3khmT,spotify:album:39BzI7vL8N9czgVxsstZO3,['spotify:artist:43xjJMxn9QG0jEiBO3Hxe5'],False,14.0
5,5,Mijn Dagboek,['Mijn Dagboek'],5,Willeke Alberti,['Willeke Alberti'],['Willeke Alberti'],Mijn Dagboek,spotify:track:1ivPaxFyaHT8rlphPx5vO8,spotify:album:4oGOyj6OKbdClBPXjyePzl,['spotify:artist:7monj8DXxygyUqgx7ncylV'],False,24.0
6,6,In Der Mondhelle Nacht,['In Der Mondhelle Nacht'],6,Gert en Hermien Timmerman,['Gert en Hermien Timmerman'],[None],,,,[None],,
7,7,I Could Easily Fall (In Love With You),"['I Could Easily Fall (In Love With You)', 'I Could Easily Fall ', 'In Love With You', 'I Could Easily Fall In Love With You']",7,Cliff Richard,['Cliff Richard'],['Cliff Richard & The Shadows'],I Could Easily Fall (In Love With You),spotify:track:2c44jKCS2Z7wFsvYl0UC1T,spotify:album:7xiIJnG6mFqA7G7YKSqLaU,['spotify:artist:4IdvJZeciaa37wYr2qBpjm'],False,32.0
8,8,The Wedding (La novia),"['The Wedding (La novia)', 'The Wedding ', 'La novia', 'The Wedding La novia']",8,Julie Rogers,['Julie Rogers'],['Julie Rogers'],The Wedding,spotify:track:7aSoctqFvV0xx8jnMXUVcE,spotify:album:6miSz5apl4ikQlO4pkC6wr,['spotify:artist:0TvxYJwhD6rqKvdMxgtVsO'],False,11.0
9,9,Time Is On My Side,['Time Is On My Side'],9,The Rolling Stones,['The Rolling Stones'],['The Rolling Stones'],Time Is On My Side - Remastered 2002,spotify:track:4B4nWwOTtLRD1iVOBKAcVX,spotify:album:4lzMSOfoyr3LsOuWeve5Cw,['spotify:artist:22bE4uQ6baNwSHPVcDxLCe'],False,41.0
10,10,There's A Heartache Following Me,"[""There's A Heartache Following Me""]",10,Jim Reeves,['Jim Reeves'],['Jim Reeves'],There's a Heartache Following Me,spotify:track:6oZ33z5XHoLYZXmDSzg5A1,spotify:album:38Xf22Z3Orr30ZshtSrBqg,['spotify:artist:2Ev0e8GUIX4u7d9etNLTXg'],False,32.0
11,11,Ik Moet Altijd Weer Opnieuw Aan Je Denken,['Ik Moet Altijd Weer Opnieuw Aan Je Denken'],11,Edwin Rutten,['Edwin Rutten'],[None],,,,[None],,
12,12,Pretty Paper,['Pretty Paper'],2,Roy Orbison,['Roy Orbison'],['Roy Orbison'],Pretty Paper,spotify:track:1dXcUx5gQ8rkHctSsRnZuH,spotify:album:48CvRZSBT0FbOHKLFfHy0n,['spotify:artist:0JDkhL4rjiPNEp92jAgJnS'],False,54.0
13,13,Si J'etais Le Fils Du'n Roi,"[""Si J'etais Le Fils Du'n Roi""]",12,Marc Aryan,['Marc Aryan'],[None],,,,[None],,
14,14,Baby Love,['Baby Love'],13,The Supremes,['The Supremes'],['The Supremes'],Baby Love - Juke Box Single Version,spotify:track:5uM9zdUz8PpYJME9wZCM4W,spotify:album:3W2FhBKieLAcrS4e9SHtr6,['spotify:artist:57bUPid8xztkieZfS7OlEV'],False,60.0
15,15,Tell Me,['Tell Me'],9,The Rolling Stones,['The Rolling Stones'],['The Rolling Stones'],Tell Me,spotify:track:7sIfDrxNbsLkOOLmzWPijN,spotify:album:7Kln3VdaLUYVIFpqe7AuNA,['spotify:artist:22bE4uQ6baNwSHPVcDxLCe'],False,32.0
16,16,All Day And All Of The Night,['All Day And All Of The Night'],14,The Kinks,['The Kinks'],['The Kinks'],All Day and All of the Night,spotify:track:5gmMa8nwzrkcPbHzSW3azN,spotify:album:0fT3ySwzj1bPUWINB07MoI,['spotify:artist:1SQRv42e4PjEYfPhS0Tk9E'],False,66.0
17,17,Always Something There To Remind Me,['Always Something There To Remind Me'],15,Sandie Shaw,['Sandie Shaw'],['Sandie Shaw'],"(There's) Always Something There to Remind Me [From ""Made In Dagenham""]",spotify:track:1wC7CB1j6mEFLDS5cNndxW,spotify:album:26CGf6BwICc6rudK6QJc69,['spotify:artist:5uxkcHbgyNbyzq1nyChvCa'],False,42.0
18,18,Hup Hup Hup,['Hup Hup Hup'],16,Het Cocktail Trio,['Het Cocktail Trio'],[None],,,,[None],,
19,19,Ringo,['Ringo'],17,Lorne Greene,['Lorne Greene'],['Lorne Greene'],Ringo,spotify:track:5GHbWzjRy1XfnTf5rkA8bf,spotify:album:5aucUihOucqNfx4dUXOLHS,['spotify:artist:7CHyTolf8RTuUaW4yYV52d'],False,31.0
20,20,Little Red Rooster,['Little Red Rooster'],9,The Rolling Stones,['The Rolling Stones'],['The Rolling Stones'],Little Red Rooster,spotify:track:4uUBLQQIgIBukx5nhzUyCi,spotify:album:6CNXUyFKuhAjKIDsV3m6kZ,['spotify:artist:22bE4uQ6baNwSHPVcDxLCe'],False,46.0
21,21,Vergangen Vergessen Vorüber,['Vergangen Vergessen Vorüber'],18,Freddy,['Freddy'],['Freddy Quinn'],"Vergangen, vergessen, vorüber",spotify:track:6Y3jzGG8N9fyQCUO3qEHYh,spotify:album:48ARZZrMQkP4W7kGOoWr2T,['spotify:artist:18mGtkaRoIjbOaGT1rykKP'],False,26.0
22,22,Where Did Our Love Go,['Where Did Our Love Go'],13,The Supremes,['The Supremes'],['The Supremes'],Where Did Our Love Go - Stereo Version,spotify:track:6yz8hKpO3s2byra8Et3w9x,spotify:album:3W2FhBKieLAcrS4e9SHtr6,['spotify:artist:57bUPid8xztkieZfS7OlEV'],False,55.0
23,23,Träume Der Liebe,['Träume Der Liebe'],19,Geschwister Jacob,['Geschwister Jacob'],['Geschwister Jacob'],Träume der Liebe,spotify:track:1vrHimBjQvSSbmtc8tqC0p,spotify:album:7djaHwG2fqz72zzmBVqLyp,['spotify:artist:0GiB6ljD4TWrbHxlAX5ikj'],False,4.0
24,24,Kleine Annabell/ Kenn Ein Land,"['Kleine Annabell', ' Kenn Ein Land']",20,Ronny,['Ronny'],['Ronny'],Kleine Annabell,spotify:track:55rYhUqW04sNFMZbHy2Bwr,spotify:album:46IV8qi6oXlOXo1U1bhAXA,['spotify:artist:1y5d1LmE706jNPVBsE0n0X'],False,21.0
25,25,If I Fell,['If I Fell'],0,The Beatles,['The Beatles'],['The Beatles'],If I Fell - Remastered,spotify:track:7pd4f00gq8Rsg9PBkq8dhD,spotify:album:71Mwd9tntFQYUk4k2DwA0D,['spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'],False,55.0
26,26,Down Town,['Down Town'],21,Petula Clark,['Petula Clark'],['Petula Clark'],Down Town,spotify:track:2IzUfd8Dv5wfvLoe8yfpNA,spotify:album:7emxnyckp3TBQ96yWi94kH,['spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8'],False,42.0
27,27,Everything's Allright,"[""Everything's Allright""]",22,The Newbeats,['The Newbeats'],[None],,,,[None],,
28,28,Jezebel,['Jezebel'],23,Johnny Kendall and The Heralds,['Johnny Kendall and The Heralds'],['Johnny Kendall And The Heralds'],Jezebel,spotify:track:3r64bIVws38NHkJzSzQF3Y,spotify:album:1qr6ruFPA1te7OoG5Y3TyR,['spotify:artist:50YOyQsxTuQLHiQMsB9Jgq'],False,6.0
29,29,Schneemann,['Schneemann'],24,Manuela und Die 5 Dops,['Manuela und Die 5 Dops'],[None],,,,[None],,
30,30,Come See About Me,['Come See About Me'],13,The Supremes,['The Supremes'],['The Supremes'],Come See About Me - Stereo Version,spotify:track:22dLbMQkxE1cpDpu4VM3zc,spotify:album:3W2FhBKieLAcrS4e9SHtr6,['spotify:artist:57bUPid8xztkieZfS7OlEV'],False,58.0
31,31,Ik Heb Genoeg Van Jou,['Ik Heb Genoeg Van Jou'],25,ZZ en De Maskers - Vocal: Bob Bouber,"['ZZ en De Maskers - Vocal: Bob Bouber', 'ZZ en De Maskers ']",['ZZ en de Maskers'],Ik Heb Genoeg Van Jou,spotify:track:4cHu5FO3Par7M6rX05gL6a,spotify:album:3PKUL5wRsKWypZAAWpzMLL,['spotify:artist:7k3KkH5Vm4OkbFx6UM1ed0'],False,21.0
32,32,Adalita,['Adalita'],26,Trini Lopez,['Trini Lopez'],['Trini Lopez'],Adalita,spotify:track:3UF6tIuN5bRIE8VVqRkMOW,spotify:album:64M8CUVIPM7bQVOiFa3slD,['spotify:artist:5FlTKgucbhHvlJVf0pnvOv'],False,1.0
33,33,Una Lacrima Sul Viso,['Una Lacrima Sul Viso'],27,Bobby Solo,['Bobby Solo'],['Bobby Solo'],Una Lacrima Sul Viso,spotify:track:6Fpx01AIqWKchEQ5M0s7a0,spotify:album:6ESzygL26GaA2DNaG8UHNy,['spotify:artist:7GxkHuCxqtPAVnpBTjObpn'],False,39.0
34,34,Bianca Rosa,['Bianca Rosa'],28,René Carol,['René Carol'],[None],,,,[None],,
35,35,I Won't Forget You,"[""I Won't Forget You""]",10,Jim Reeves,['Jim Reeves'],['Jim Reeves'],I Won't Forget You,spotify:track:0y4WLsDFcdhGEiyGrTXwV0,spotify:album:158F4r9awKr4bs7X5E49JA,['spotify:artist:2Ev0e8GUIX4u7d9etNLTXg'],False,45.0
36,36,Come A Little Bit Closer,['Come A Little Bit Closer'],29,Jay and The Americans / Jay & The Americans,"['Jay and The Americans ', ' Jay & The Americans']",['Jay & The Americans'],Come A Little Bit Closer,spotify:track:252YuUdUaC5OojaBU0H1CP,spotify:album:0LMJo3p9QqRjaap3qvlTY6,['spotify:artist:0DAqhikcMKLo2lPADVz2fs'],False,67.0
37,37,Sha La La,['Sha La La'],30,Manfred Mann,['Manfred Mann'],['Manfred Mann'],Sha La La,spotify:track:6TVWJ44dmJbeYb2p1bb6t5,spotify:album:5SeX4bCpwJDIkcwBEWuOa2,['spotify:artist:5670CyWrIOA7702gNjsGMZ'],False,27.0
38,38,Maria Elena,['Maria Elena'],31,Los Indios Tabajaras,['Los Indios Tabajaras'],['Los Indios Tabajaras'],Maria Elena,spotify:track:5mXz9WHwtBeLhv0zhkinMV,spotify:album:7qrX2GdsS3NmyG4yZbL6SY,['spotify:artist:1TKifb1r4wnGbY5CYIwjGb'],False,31.0
39,39,I Should Have Known Better,['I Should Have Known Better'],0,The Beatles,['The Beatles'],['The Beatles'],I Should Have Known Better - Remastered,spotify:track:49lytSpI9xviTrHs0OhYIo,spotify:album:71Mwd9tntFQYUk4k2DwA0D,['spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'],False,53.0
40,40,I'm Gonna Be Strong,"[""I'm Gonna Be Strong""]",32,Gene Pitney,['Gene Pitney'],['Gene Pitney'],I'm Gonna Be Strong,spotify:track:5SG4cYB4PqLNTQMa7C5pPT,spotify:album:1cyeTTBDkCA6lqSXwwJMJ6,['spotify:artist:3ap1NzHNV9QA1x1V6z3gSe'],False,38.0
41,41,Du Darfst Nicht Weinen,['Du Darfst Nicht Weinen'],28,René Carol,['René Carol'],[None],,,,[None],,
42,42,I Understand,['I Understand'],33,Freddie & The Dreamers,['Freddie & The Dreamers'],['Freddie & The Dreamers'],I Understand (Just How You Feel),spotify:track:2cqBR0FuG3DWjwnurXUFdK,spotify:album:3AGQsHZR1s4bXnQeSxIxhQ,['spotify:artist:1wCc2Wgga1H8C7u57pcqYk'],False,25.0
43,43,Ik Vraag 't Aan De Sterren,"[""Ik Vraag 't Aan De Sterren""]",34,Trea Dobbs,['Trea Dobbs'],[None],,,,[None],,
44,44,Ni Nanai,['Ni Nanai'],35,Trio Hellenique,['Trio Hellenique'],[None],,,,[None],,
45,45,Noordzeestrand,['Noordzeestrand'],36,Rocco Granata,['Rocco Granata'],['Rocco Granata'],Noordzeestrand,spotify:track:5b3hV6LfcYE35dFkgStKxH,spotify:album:1jkFr7I2ZOrC5GeVJKGuZd,['spotify:artist:2VhQDTCxA5WBYclo7t7UcI'],False,15.0
46,46,Saturday Night At The Movies,['Saturday Night At The Movies'],37,The Drifters,['The Drifters'],['The Drifters'],Saturday Night At The Movies - Remastered Single/LP Version,spotify:track:2oJaCsDjCujzOL75Oi3KaS,spotify:album:4P2Ydg6ObtLrn99a7l3wsO,['spotify:artist:1FqqOl9itIUpXr4jZPIVoT'],False,45.0
47,47,Ich Will Immer Auf Dich Warten,['Ich Will Immer Auf Dich Warten'],38,Brenda Lee,['Brenda Lee'],[None],,,,[None],,
48,48,Genie With The Light Brown Lamp,['Genie With The Light Brown Lamp'],39,The Shadows,['The Shadows'],['The Shadows'],Genie With The Light Brown Lamp - 1995 Remastered Version,spotify:track:0IuibArSm6qx3b2LxbJUmm,spotify:album:2boc1c2fe79eGVODNidGNC,['spotify:artist:03hfAxVdAWj7kxDnSG0fLD'],False,7.0
49,49,Crazy Arms/ Colinda,"['Crazy Arms', ' Colinda']",1,Lucille Starr,['Lucille Starr'],['Bob & Lucille'],Crazy Arms,spotify:track:2OW0NaUJzKWuj1t1TF1V1Z,spotify:album:4bro7jqb3ZMNPqIZCeCdga,['spotify:artist:0fyyKYpxUKaG1piwKxHjeV'],False,9.0
50,50,"Lovely, Lovely (Loverly, Loverly)","['Lovely, Lovely (Loverly, Loverly)', 'Lovely, Lovely ', 'Loverly, Loverly', 'Lovely, Lovely Loverly, Loverly']",40,Chubby Checker,['Chubby Checker'],['Chubby Checker'],"Lovely, Lovely (Loverly, Loverly)",spotify:track:2zs6PnrBK2FscVOiGX0d1O,spotify:album:4cQ7D6QMs9w7ayf5Dycc2T,['spotify:artist:7qQJQ3YtcGlqaLg5tcypN2'],False,36.0
51,51,Les Filles Du Bord De Mer,['Les Filles Du Bord De Mer'],3,Adamo,['Adamo'],['Salvatore Adamo'],Les filles du bord de mer,spotify:track:0cgiajsINixTKvztzeZGvk,spotify:album:0iptDBG98BUELZzglvwUSc,['spotify:artist:37r3ZUhErh0QPJENMsAPBG'],False,19.0
52,52,Let Kiss / Letkis / Letka Jenka / Letkis Jenka,"['Let Kiss ', ' Letkis ', ' Letka Jenka ', ' Letkis Jenka']",41,Orkest Gudrun Jankis / Stig Rauno / Jan Rohde & The Wild Ones / The Dutch Swing College Band,"['Orkest Gudrun Jankis ', ' Stig Rauno ', ' Jan Rohde & The Wild Ones ', ' The Dutch Swing College Band']",[None],,,,[None],,
53,53,Bread And Butter,['Bread And Butter'],22,The Newbeats,['The Newbeats'],['The Newbeats'],Bread and Butter,spotify:track:4RJi2cYNOxfklHZZ7foR2y,spotify:album:06q9kt4UZs8dqyMOt4BuJK,['spotify:artist:6LK7EEHFApe9FZbFRFyBDN'],False,27.0
