,source,target,1
8,4Rsc288EiJrYaUwQMENLVh,4U9bAa04kxvEeWVVAGQiVC,1
9,4Rsc288EiJrYaUwQMENLVh,2uYGzEYYX0GTrgnfLmq4Uu,1
10,4Rsc288EiJrYaUwQMENLVh,6o8d8XXO1VTWSVoEg0j5sb,1
11,4Rsc288EiJrYaUwQMENLVh,6AppB7gke4WXNRhtlTdSJy,1
12,4Rsc288EiJrYaUwQMENLVh,3say7qPpfTJlo8bxcpHQkc,1
13,4Rsc288EiJrYaUwQMENLVh,7fZiIcfYlK7sJbKpZLZSUh,1
14,4Rsc288EiJrYaUwQMENLVh,7blaRp95WUYbzLU6wXO87m,1
15,4Rsc288EiJrYaUwQMENLVh,7hr9TBB6EcKhZWPkb5tbTY,1
16,4Rsc288EiJrYaUwQMENLVh,7monj8DXxygyUqgx7ncylV,1
17,4Rsc288EiJrYaUwQMENLVh,4x9b95tQANyGxHLQzWN0If,1
18,4Rsc288EiJrYaUwQMENLVh,2qSwdWpuJlUch30TG2gm0N,1
19,4Rsc288EiJrYaUwQMENLVh,73lX0TrvsXpSyXWdiYYICN,1
20,4Rsc288EiJrYaUwQMENLVh,7AHlsFyu6r8OVqezmQRbhm,1
21,4Rsc288EiJrYaUwQMENLVh,2TjgWhGv4T3pGRalEQmiwV,1
22,4Rsc288EiJrYaUwQMENLVh,53h41ZnbPtgDG5K7HJ56r7,1
23,4Rsc288EiJrYaUwQMENLVh,3oavnC2N25caTse16Gj8HR,1
24,4Rsc288EiJrYaUwQMENLVh,42SCqZAVnFo3ocAyO0tDTj,1
25,4Rsc288EiJrYaUwQMENLVh,6GG9LziWEIGw0CoAbAKFcX,1
26,4Rsc288EiJrYaUwQMENLVh,6PeXy9NJcXE6CUH12YsboM,1
27,4Rsc288EiJrYaUwQMENLVh,087pgpL9oSvARP9nTP7x5j,1
28,6cMX0sjDf0CJQMI3lVY5Xc,5k1FBxAglBtDC8H26LOo4F,1
29,6cMX0sjDf0CJQMI3lVY5Xc,10Apoi1zownt1wjwVy9FOZ,1
30,6cMX0sjDf0CJQMI3lVY5Xc,0aHdlh99ee5gaOplHz6Cyt,1
31,6cMX0sjDf0CJQMI3lVY5Xc,1YajfeXETQGtYNQJkOMupS,1
32,6cMX0sjDf0CJQMI3lVY5Xc,6XtqgoAYl2mXQhn9ZmDEdt,1
33,6cMX0sjDf0CJQMI3lVY5Xc,1an2WzZYKpXY3qhFpfukfL,1
34,6cMX0sjDf0CJQMI3lVY5Xc,0NM27i2hSW1lbc7rYa5D6u,1
35,6cMX0sjDf0CJQMI3lVY5Xc,2lzeV1nxm8MB7z85L53JV2,1
36,6cMX0sjDf0CJQMI3lVY5Xc,7oKJmnPaABXLPkw3gT7rIa,1
37,6cMX0sjDf0CJQMI3lVY5Xc,6HJyUNxkWzpOY0ccassndx,1
38,6cMX0sjDf0CJQMI3lVY5Xc,5Mww2P8ni50lmfOTsBmGHn,1
39,6cMX0sjDf0CJQMI3lVY5Xc,7isSKzkNHe3Tsmht2ar6Ai,1
40,6cMX0sjDf0CJQMI3lVY5Xc,0X6CDvMiFMeLxVnKUq9oWy,1
41,6cMX0sjDf0CJQMI3lVY5Xc,73G7RMWMbWUGc8tkXeQoJQ,1
42,6cMX0sjDf0CJQMI3lVY5Xc,2UWFwMXUXbEs79qbI4NdTT,1
43,6cMX0sjDf0CJQMI3lVY5Xc,5z4lUxGyk6fWkbqoITgJTv,1
44,6cMX0sjDf0CJQMI3lVY5Xc,5MvyMusqNikgVgkKHLc3pb,1
45,6cMX0sjDf0CJQMI3lVY5Xc,7xxVm0cM4x7TUBadZQuz3S,1
46,6cMX0sjDf0CJQMI3lVY5Xc,5V2zReaoPvB7EsZ4160uLG,1
47,6cMX0sjDf0CJQMI3lVY5Xc,7iR5h6yGnTiswjsmj624Rq,1
49,4cynDosMoBQcVD9UKLq8eX,5cMgGlA1xGyeAB2ctYlRdZ,1
55,4cynDosMoBQcVD9UKLq8eX,05RZIdfz59ZW2FvFuwnmNK,1
57,4cynDosMoBQcVD9UKLq8eX,2MGT7CYlixSPxAnnkhLpaA,1
59,4cynDosMoBQcVD9UKLq8eX,3wVllS5itPK6rpHwfvNce4,1
62,4cynDosMoBQcVD9UKLq8eX,4UGMQyNcbGHYg5CDMKkSw3,1
63,4cynDosMoBQcVD9UKLq8eX,5aEWnrN8h3MhuFUPRfaVuy,1
64,4cynDosMoBQcVD9UKLq8eX,1255GTUKNCLCTvH9ctD4cT,1
65,4cynDosMoBQcVD9UKLq8eX,02JTFUpX3CgLWXNKEXIvcb,1
68,2qSwdWpuJlUch30TG2gm0N,5k1FBxAglBtDC8H26LOo4F,1
69,2qSwdWpuJlUch30TG2gm0N,3say7qPpfTJlo8bxcpHQkc,1
70,2qSwdWpuJlUch30TG2gm0N,1G2QbSM5dLTtqeZHYnxXsF,1
71,2qSwdWpuJlUch30TG2gm0N,7fZiIcfYlK7sJbKpZLZSUh,1
72,2qSwdWpuJlUch30TG2gm0N,3oavnC2N25caTse16Gj8HR,1
73,2qSwdWpuJlUch30TG2gm0N,4U9bAa04kxvEeWVVAGQiVC,1
74,2qSwdWpuJlUch30TG2gm0N,7isSKzkNHe3Tsmht2ar6Ai,1
75,2qSwdWpuJlUch30TG2gm0N,2TjgWhGv4T3pGRalEQmiwV,1
76,2qSwdWpuJlUch30TG2gm0N,6AppB7gke4WXNRhtlTdSJy,1
77,2qSwdWpuJlUch30TG2gm0N,7monj8DXxygyUqgx7ncylV,1
78,2qSwdWpuJlUch30TG2gm0N,3kV8uLK5ibxfdB5mPdVmi6,1
79,2qSwdWpuJlUch30TG2gm0N,6PeXy9NJcXE6CUH12YsboM,1
80,2qSwdWpuJlUch30TG2gm0N,3u84EkSPrJYO4n5cipED9K,1
81,2qSwdWpuJlUch30TG2gm0N,2jtIQ2r2x8P4I23sIDDL3n,1
82,2qSwdWpuJlUch30TG2gm0N,6o8d8XXO1VTWSVoEg0j5sb,1
84,2qSwdWpuJlUch30TG2gm0N,73lX0TrvsXpSyXWdiYYICN,1
85,2qSwdWpuJlUch30TG2gm0N,7blaRp95WUYbzLU6wXO87m,1
86,2qSwdWpuJlUch30TG2gm0N,6m9EYPGGPleNS457wrg9p9,1
87,2qSwdWpuJlUch30TG2gm0N,4Q7PRWyZrpaEWFd8I0gdtB,1
88,0F7G8LeDmCpHHEPX55FEgq,3iPWVg3McWlor6EUf9Jc7l,1
90,0F7G8LeDmCpHHEPX55FEgq,2kUUaHnVe0rRarZqRZgHEY,1
91,0F7G8LeDmCpHHEPX55FEgq,5ZvV5BO4R5dwEUPfRKXdUI,1
94,0F7G8LeDmCpHHEPX55FEgq,5b4SvpTqll0LSqJWPpXya5,1
95,0F7G8LeDmCpHHEPX55FEgq,2fJ2vi4PUSxyvYaeq0FTbE,1
96,0F7G8LeDmCpHHEPX55FEgq,3X9xSaKYs3EY8l74Hgy5rz,1
97,0F7G8LeDmCpHHEPX55FEgq,6gkWznnJkdkwRPVcmnrays,1
99,0F7G8LeDmCpHHEPX55FEgq,1zKp43H1kLHOTkJAeyTIkf,1
100,0F7G8LeDmCpHHEPX55FEgq,4gQEXxzqwNmQwjU0Wc0Ioe,1
101,0F7G8LeDmCpHHEPX55FEgq,0DapOnrmvQGwToOmgk6Fz8,1
103,0F7G8LeDmCpHHEPX55FEgq,20v3nhzoeaO2WvDSCdY0f4,1
104,0F7G8LeDmCpHHEPX55FEgq,2EURsXo9qlt1aMWlviGCRi,1
105,0F7G8LeDmCpHHEPX55FEgq,3REpOYo13YkVj1dFzda12A,1
106,0F7G8LeDmCpHHEPX55FEgq,3FxBwdg0z5WkLdlAbe7GHq,1
109,77HthcNFa6SbicRaQKdhyy,4gQEXxzqwNmQwjU0Wc0Ioe,1
110,77HthcNFa6SbicRaQKdhyy,2kUUaHnVe0rRarZqRZgHEY,1
112,77HthcNFa6SbicRaQKdhyy,2fJ2vi4PUSxyvYaeq0FTbE,1
113,77HthcNFa6SbicRaQKdhyy,4JCt4xrbbBB9blkKwNlcJ7,1
114,77HthcNFa6SbicRaQKdhyy,20v3nhzoeaO2WvDSCdY0f4,1
116,77HthcNFa6SbicRaQKdhyy,20B6eaXUEN0NOvJqdebu7L,1
117,77HthcNFa6SbicRaQKdhyy,5uFqO7FceiE84xjEjFtQLX,1
118,77HthcNFa6SbicRaQKdhyy,1mNnxxnPfHQDOkFjnZmdkc,1
119,77HthcNFa6SbicRaQKdhyy,3X9xSaKYs3EY8l74Hgy5rz,1
120,77HthcNFa6SbicRaQKdhyy,2EURsXo9qlt1aMWlviGCRi,1
125,77HthcNFa6SbicRaQKdhyy,742YR9ZgF0tCO5juBfvPAU,1
163,1R9SaN2RWxkLPFU2A88te2,0RJ6eS1cimNNF64vRXGwfD,1
168,1R9SaN2RWxkLPFU2A88te2,6HJyUNxkWzpOY0ccassndx,1
173,1R9SaN2RWxkLPFU2A88te2,5zEUGwAdlfTQqKplCJJuua,1
177,1R9SaN2RWxkLPFU2A88te2,3jBNLmJDEBWEoidTT7l1Jn,1
183,1h6Cn3P4NGzXbaXidqURXs,4FqPRilb0Ja0TKG3RS3y4s,1
184,1h6Cn3P4NGzXbaXidqURXs,6hyMWrxGBsOx6sWcVj1DqP,1
185,1h6Cn3P4NGzXbaXidqURXs,1xNmvlEiICkRlRGqlNFZ43,1
187,1h6Cn3P4NGzXbaXidqURXs,5fahUm8t5c0GIdeTq0ZaG8,1
188,1h6Cn3P4NGzXbaXidqURXs,4D75GcNG95ebPtNvoNVXhz,1
189,1h6Cn3P4NGzXbaXidqURXs,5ChF3i92IPZHduM7jN3dpg,1
190,1h6Cn3P4NGzXbaXidqURXs,1pbHrVayIcVpHI9z97u4bK,1
193,1h6Cn3P4NGzXbaXidqURXs,5sm0jQ1mq0dusiLtDJ2b4R,1
195,1h6Cn3P4NGzXbaXidqURXs,7dc6hUwyuIhrZdh80eaCEE,1
196,1h6Cn3P4NGzXbaXidqURXs,1bpzpALZwOoKXzwMg2i8WB,1
