,source,target,1
2760,0KQX2wRHV2VLjuscfJFNxB,7rgKxnnBAsZ7Q04d6jICu6,1
2761,0KQX2wRHV2VLjuscfJFNxB,3D2GUXbtlL3r2d5HJEnsFD,1
2763,0KQX2wRHV2VLjuscfJFNxB,3FTKP1k9VbOng3m1rgnsqx,1
2764,0KQX2wRHV2VLjuscfJFNxB,0d1nFNO90pwRmCeeqjOx2Q,1
2769,0KQX2wRHV2VLjuscfJFNxB,6ltVunYjAAD70YtVO6rxvX,1
3030,3fMbdgg4jU18AjLCKBhRSm,3gMaNLQm7D9MornNILzdSl,1
3031,3fMbdgg4jU18AjLCKBhRSm,7guDJrEfX3qb6FEbdPA5qi,1
3032,3fMbdgg4jU18AjLCKBhRSm,4qwGe91Bz9K2T8jXTZ815W,1
3033,3fMbdgg4jU18AjLCKBhRSm,5a2EaR3hamoenG9rDuVn8j,1
3037,3fMbdgg4jU18AjLCKBhRSm,6tbjWDEIzxoDsBA1FuhfPW,1
3038,3fMbdgg4jU18AjLCKBhRSm,6XpaIBNiVzIetEPCWDvAFP,1
3040,3fMbdgg4jU18AjLCKBhRSm,3MdG05syQeRYPPcClLaUGl,1
3043,3fMbdgg4jU18AjLCKBhRSm,2eogQKWWoohI3BSnoG7E2U,1
3045,3fMbdgg4jU18AjLCKBhRSm,31TPClRtHm23RisEBtV3X7,1
5005,08GQAI4eElDnROBrJRGE0X,1SQRv42e4PjEYfPhS0Tk9E,1
5073,3FTKP1k9VbOng3m1rgnsqx,6ltVunYjAAD70YtVO6rxvX,1
5075,3FTKP1k9VbOng3m1rgnsqx,7rgKxnnBAsZ7Q04d6jICu6,1
5078,3FTKP1k9VbOng3m1rgnsqx,0KQX2wRHV2VLjuscfJFNxB,1
5082,3FTKP1k9VbOng3m1rgnsqx,0d1nFNO90pwRmCeeqjOx2Q,1
5281,2HcwFjNelS49kFbfvMxQYw,4RVnAU35WRWra6OZ3CbbMA,1
5889,3MdG05syQeRYPPcClLaUGl,2eogQKWWoohI3BSnoG7E2U,1
6206,26dSoYclwsYLMAKD3tpOr4,1l7ZsJRRS8wlW3WfJfPfNS,1
6207,26dSoYclwsYLMAKD3tpOr4,2DlGxzQSjYe5N6G9nkYghR,1
6220,26dSoYclwsYLMAKD3tpOr4,4RVnAU35WRWra6OZ3CbbMA,1
7845,1LZEQNv7sE11VDY3SdxQeN,2eogQKWWoohI3BSnoG7E2U,1
7850,1LZEQNv7sE11VDY3SdxQeN,2y8Jo9CKhJvtfeKOsYzRdT,1
7852,1LZEQNv7sE11VDY3SdxQeN,6waa8mKu91GjzD4NlONlNJ,1
7858,1LZEQNv7sE11VDY3SdxQeN,3gMaNLQm7D9MornNILzdSl,1
7983,3gMaNLQm7D9MornNILzdSl,3MdG05syQeRYPPcClLaUGl,1
10432,67ea9eGLXYMsO2eYQRui3w,1SQRv42e4PjEYfPhS0Tk9E,1
10440,67ea9eGLXYMsO2eYQRui3w,6waa8mKu91GjzD4NlONlNJ,1
10442,67ea9eGLXYMsO2eYQRui3w,22bE4uQ6baNwSHPVcDxLCe,1
13592,3PhoLpVuITZKcymswpck5b,2y8Jo9CKhJvtfeKOsYzRdT,1
13609,3PhoLpVuITZKcymswpck5b,6waa8mKu91GjzD4NlONlNJ,1
15107,6ltVunYjAAD70YtVO6rxvX,7rgKxnnBAsZ7Q04d6jICu6,1
