id,name,firstNotation,lastNotation,amountOfNotations,amountOfSongs
76pv5GLCT59dW4rIayBo1i,Campbell I.C.,1990,1995,28,4
1Vkpl6UTSmF51Mrb9EwAjc,Neil Christian,1966,1966,11,1
4Rsc288EiJrYaUwQMENLVh,Peter Schaap,1975,1975,11,2
6cMX0sjDf0CJQMI3lVY5Xc,Linda Roos & Jessica,1995,1997,47,5
4cynDosMoBQcVD9UKLq8eX,K-Ci,1999,1999,10,1
2qSwdWpuJlUch30TG2gm0N,Tol Hansse,1978,1993,25,4
0F7G8LeDmCpHHEPX55FEgq,Hi-Gloss,1981,1981,5,1
77HthcNFa6SbicRaQKdhyy,Gwen Guthrie,1986,1986,5,1
3VccNC8sgYJp1EzR8DWLwf,Fused,2001,2001,2,1
7lGr6yWfPkGkCqRtKNnuSc,Room 42,1993,1993,4,1
1R9SaN2RWxkLPFU2A88te2,Jim,2003,2003,20,3
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,2010,2012,73,5
3ijY78RxOagYo8FOgSEkWj,Marie Osmond,1973,1976,19,3
1fprDBeCKrHSz3TZDiML9a,Alex Orbison,1966,1966,4,1
1lO13Grp3I1AsIbcACRWvv,K's Choice,1996,2000,12,3
6GI52t8N5F02MxU0g5U69P,Santana,1970,2005,98,14
218kRJZ7FJs0hWIk8Ynzhz,Charlie Rich,1974,1974,16,2
2OrGVDwIP5mxA6vKDEAlj9,Jochem Myjer,2010,2010,5,1
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,2014,2014,5,1
438JBZR1AR0l04AzcYW9gy,Harold Melvin & The Blue Notes,1973,1974,11,2
090a4C0eOCTDBuCkN3VSVk,OFF,1987,1987,4,1
0Nn9YwJzcaeuU1jJL06e3r,The Knack,1979,1979,6,1
3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,1987,1990,18,3
0J7U24vlOOIeMpuaO6Q85A,LP,2016,2016,6,1
0xWTQw2TL6j7mHGOTltsEW,White Plains,1971,1971,7,1
4YrKBkKSVeqDamzBPWVnSJ,Basement Jaxx,1999,2004,31,5
04tkc4IcAn3q0zy1C6oWBI,John Benitez,1983,1985,16,2
1nOTwY0FfKdXCBQiuQILbG,De Jazzpolitie,1993,1993,16,2
0N5PyKJzS3M1XNlaCL7bbE,Wilson Pickett,1966,1969,22,4
0ap24Mjt6qlze8v667KlaF,Ten Sharp,1991,1991,11,1
6is2U7I1jlI8PjxNZOHIMV,DeBarge,1985,1985,11,1
0GOx72r5AAEKRGQFn3xqXK,Maître Gims,2013,2013,30,1
4x8DXJfjdOQTL06fdVz1TN,Vjekoslav Sutej,1993,1993,2,1
3i31y6LSpJEgV5ny8fw66d,JW Roy,2015,2015,17,1
2tkwWmcZOQPNbbIdknfBsw,The Undisputed Truth,1973,1973,2,1
59YrAz5Qr2z6s0zrLSPsEj,Ron Brandsteder,1984,1990,14,2
0MlOPi3zIDMVrfA9R04Fe3,American Authors,2014,2014,3,1
2VrP5BkyzDhY43dWMlaYjD,Joshua Kadison,1994,1994,19,2
3gTl4XARdQR2Sy59osG0Ia,Sonny Wilson,2013,2013,11,1
5GLFbwgiU1YyAoQD8C4nvC,Charly Lownoise & Mental Theo,1995,1997,63,8
00bFgWuCaaFrjC9xylIcMf,Ben Liebrand,1983,1983,9,1
18wc7xvm8Ti7rqoLtf6jIU,Danyel Gerard,1971,1971,13,1
23c9J0D1XARxBiaAB9MtOk,Gert en Hermien en Fred en Helen,1966,1966,9,1
4GvOygVQquMaPm8oAc0vXi,The Streets,2004,2004,5,1
65jWvlpotxoQ0d8kOAEiN8,K. Dootje,1994,1994,3,1
4pADjHPWyrlAF0FA7joK2H,Jay Sean,2005,2016,35,4
0b56UorOAGzljLJCUtcJ6J,Jaap Dekker's Boogie Set,1972,1972,9,1
5IxFL8NPTmiHEbtZNznJlk,Corinne Hermes,1983,1983,4,1
3hryYbZnFzdG46IIwHuZ3B,Mabel King,1979,1979,13,1
578H3JcBpjwQeB6wztdNGa,Houseband,1977,1977,7,1
3uvgpRoSxqjOPQBYWenelN,Jules & Raoul,2004,2004,2,1
1EVpn7mXyF07LuJqgUk6RX,Tom Novy,2005,2005,5,1
4GCWiBjgcpUciB55iT5bel,Passengers,1995,1995,14,1
7r8RF1tN2A4CiGEplkp1oP,Ginuwine,1997,2003,32,4
