,external_urls,followers,genres,href,id,images,name,popularity,type,artistID
0,{'spotify': 'https://open.spotify.com/artist/76pv5GLCT59dW4rIayBo1i'},"{'href': None, 'total': 103}",[],https://api.spotify.com/v1/artists/76pv5GLCT59dW4rIayBo1i,76pv5GLCT59dW4rIayBo1i,[],Campbell I.C.,48,artist,spotify:artist:76pv5GLCT59dW4rIayBo1i
1,{'spotify': 'https://open.spotify.com/artist/1Vkpl6UTSmF51Mrb9EwAjc'},"{'href': None, 'total': 55}",[],https://api.spotify.com/v1/artists/1Vkpl6UTSmF51Mrb9EwAjc,1Vkpl6UTSmF51Mrb9EwAjc,[],Neil Christian,8,artist,spotify:artist:1Vkpl6UTSmF51Mrb9EwAjc
2,{'spotify': 'https://open.spotify.com/artist/4Rsc288EiJrYaUwQMENLVh'},"{'href': None, 'total': 278}","[""traditional rock 'n roll""]",https://api.spotify.com/v1/artists/4Rsc288EiJrYaUwQMENLVh,4Rsc288EiJrYaUwQMENLVh,"[{'height': 600, 'url': 'https://i.scdn.co/image/a04caf3dae6514238596c103d82ddaaa2ec0ff33', 'width': 600}, {'height': 300, 'url': 'https://i.scdn.co/image/99edc1cf85fdeedde41c1627aac8e3e738761009', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/f5d62b68ea53f1ac0af847c3fda9169ea9092154', 'width': 64}]",Peter Schaap,18,artist,spotify:artist:4Rsc288EiJrYaUwQMENLVh
3,{'spotify': 'https://open.spotify.com/artist/6cMX0sjDf0CJQMI3lVY5Xc'},"{'href': None, 'total': 741}",['dutch pop'],https://api.spotify.com/v1/artists/6cMX0sjDf0CJQMI3lVY5Xc,6cMX0sjDf0CJQMI3lVY5Xc,"[{'height': 640, 'url': 'https://i.scdn.co/image/170bc57a182038dc6efec1772549450d3a1dfc96', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/04528b5a7a83a02db3103e0b787603826c4b9e02', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/a238da1ad04d085f4d46f267a0627d34fdb1a67e', 'width': 64}]",Linda Roos & Jessica,30,artist,spotify:artist:6cMX0sjDf0CJQMI3lVY5Xc
4,{'spotify': 'https://open.spotify.com/artist/4cynDosMoBQcVD9UKLq8eX'},"{'href': None, 'total': 1499}","['new jack swing', 'urban contemporary']",https://api.spotify.com/v1/artists/4cynDosMoBQcVD9UKLq8eX,4cynDosMoBQcVD9UKLq8eX,"[{'height': 640, 'url': 'https://i.scdn.co/image/a7f0f0a581d4ca4206505eecceeb7acae8fd9a72', 'width': 630}, {'height': 300, 'url': 'https://i.scdn.co/image/89431d24f83725dbf4b04debd2855a254fc0d565', 'width': 296}, {'height': 64, 'url': 'https://i.scdn.co/image/d2c09cf4d84ae505aae11d68b1fe02c823303b02', 'width': 63}]",K-Ci,43,artist,spotify:artist:4cynDosMoBQcVD9UKLq8eX
5,{'spotify': 'https://open.spotify.com/artist/2qSwdWpuJlUch30TG2gm0N'},"{'href': None, 'total': 1324}","['dutch pop', 'levenslied', ""traditional rock 'n roll""]",https://api.spotify.com/v1/artists/2qSwdWpuJlUch30TG2gm0N,2qSwdWpuJlUch30TG2gm0N,"[{'height': 600, 'url': 'https://i.scdn.co/image/73de73edd26bc97217b0f6723e3617b3396a2725', 'width': 600}, {'height': 300, 'url': 'https://i.scdn.co/image/dcc068c8fc1ef169a267e7739041836d2d689b64', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ad68a89c7ff75eb291ba53e111783a0d42d6d6e4', 'width': 64}]",Tol Hansse,31,artist,spotify:artist:2qSwdWpuJlUch30TG2gm0N
6,{'spotify': 'https://open.spotify.com/artist/0F7G8LeDmCpHHEPX55FEgq'},"{'href': None, 'total': 493}",['post-disco'],https://api.spotify.com/v1/artists/0F7G8LeDmCpHHEPX55FEgq,0F7G8LeDmCpHHEPX55FEgq,"[{'height': 640, 'url': 'https://i.scdn.co/image/d456ac143b13b9707d6b34c06ef6e202fd3bbf04', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/5524bad32352cf1442bca88c2bd23a0b36903e67', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/64713f1ee513c7a2339b28644519eb2ea020da8f', 'width': 64}]",Hi-Gloss,28,artist,spotify:artist:0F7G8LeDmCpHHEPX55FEgq
7,{'spotify': 'https://open.spotify.com/artist/77HthcNFa6SbicRaQKdhyy'},"{'href': None, 'total': 9714}","['chicago house', 'disco', 'post-disco', 'quiet storm']",https://api.spotify.com/v1/artists/77HthcNFa6SbicRaQKdhyy,77HthcNFa6SbicRaQKdhyy,"[{'height': 725, 'url': 'https://i.scdn.co/image/926dd9c682f0dd9fe44928284c1d073203dae126', 'width': 1000}, {'height': 464, 'url': 'https://i.scdn.co/image/a409a6baa91770b8031e4c2e8f84a0b72806256b', 'width': 640}, {'height': 145, 'url': 'https://i.scdn.co/image/673ecb3a25b5013fbbc9e1cf13fe1861b240c62d', 'width': 200}, {'height': 46, 'url': 'https://i.scdn.co/image/c2d928ed8b4d1142537dbab2c66570fe69afd674', 'width': 63}]",Gwen Guthrie,39,artist,spotify:artist:77HthcNFa6SbicRaQKdhyy
8,{'spotify': 'https://open.spotify.com/artist/3VccNC8sgYJp1EzR8DWLwf'},"{'href': None, 'total': 391}",[],https://api.spotify.com/v1/artists/3VccNC8sgYJp1EzR8DWLwf,3VccNC8sgYJp1EzR8DWLwf,"[{'height': 640, 'url': 'https://i.scdn.co/image/de7d3f1ca762fff8c4bdf43b7bf363bef8693c71', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/fc957659710abe46e25b3891b1925e5863f9563c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/599a63114ff66ae0c9e72e0c564be619a460b693', 'width': 64}]",Fused,11,artist,spotify:artist:3VccNC8sgYJp1EzR8DWLwf
9,{'spotify': 'https://open.spotify.com/artist/7lGr6yWfPkGkCqRtKNnuSc'},"{'href': None, 'total': 22}",[],https://api.spotify.com/v1/artists/7lGr6yWfPkGkCqRtKNnuSc,7lGr6yWfPkGkCqRtKNnuSc,"[{'height': 600, 'url': 'https://i.scdn.co/image/8c8f2605153d3b5247cb9c048aa4c2ec451b7e19', 'width': 600}, {'height': 300, 'url': 'https://i.scdn.co/image/bcc43c17ddd9158f6039290ec57c8f7621490f17', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/508a8fb47236d422a7692050743500451d41346e', 'width': 64}]",Room 42,4,artist,spotify:artist:7lGr6yWfPkGkCqRtKNnuSc
10,{'spotify': 'https://open.spotify.com/artist/1R9SaN2RWxkLPFU2A88te2'},"{'href': None, 'total': 766}",[],https://api.spotify.com/v1/artists/1R9SaN2RWxkLPFU2A88te2,1R9SaN2RWxkLPFU2A88te2,"[{'height': 640, 'url': 'https://i.scdn.co/image/676de1e42eb556e3999f9e7ab9286305539eab51', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/63a2b043e52a7f0590802dee21b865e71606b038', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/8a5e874b17f90854803953295173c179ab5b8c1a', 'width': 64}]",Jim,25,artist,spotify:artist:1R9SaN2RWxkLPFU2A88te2
