,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist
62,6,In Der Mondhelle Nacht,['In Der Mondhelle Nacht'],6,Gert en Hermien Timmerman,['Gert en Hermien Timmerman']
131,11,Ik Moet Altijd Weer Opnieuw Aan Je Denken,['Ik Moet Altijd Weer Opnieuw Aan Je Denken'],11,Edwin Rutten,['Edwin Rutten']
132,13,Si J'etais Le Fils Du'n Roi,"[""Si J'etais Le Fils Du'n Roi""]",12,Marc Aryan,['Marc Aryan']
168,18,Hup Hup Hup,['Hup Hup Hup'],16,Het Cocktail Trio,['Het Cocktail Trio']
184,27,Everything's Allright,"[""Everything's Allright""]",22,The Newbeats,['The Newbeats']
188,29,Schneemann,['Schneemann'],24,Manuela und Die 5 Dops,['Manuela und Die 5 Dops']
195,34,Bianca Rosa,['Bianca Rosa'],28,René Carol,['René Carol']
196,41,Du Darfst Nicht Weinen,['Du Darfst Nicht Weinen'],28,René Carol,['René Carol']
212,43,Ik Vraag 't Aan De Sterren,"[""Ik Vraag 't Aan De Sterren""]",34,Trea Dobbs,['Trea Dobbs']
214,44,Ni Nanai,['Ni Nanai'],35,Trio Hellenique,['Trio Hellenique']
224,47,Ich Will Immer Auf Dich Warten,['Ich Will Immer Auf Dich Warten'],38,Brenda Lee,['Brenda Lee']
24,49,Crazy Arms/ Colinda,"['Crazy Arms', ' Colinda']",1,Lucille Starr,['Lucille Starr']
231,52,Let Kiss / Letkis / Letka Jenka / Letkis Jenka,"['Let Kiss ', ' Letkis ', ' Letka Jenka ', ' Letkis Jenka']",41,Orkest Gudrun Jankis / Stig Rauno / Jan Rohde & The Wild Ones / The Dutch Swing College Band,"['Orkest Gudrun Jankis ', ' Stig Rauno ', ' Jan Rohde & The Wild Ones ', ' The Dutch Swing College Band']"
243,58,Bergen Van Tirol,['Bergen Van Tirol'],45,Helma & Selma,['Helma & Selma']
244,59,De Schommelstoel,['De Schommelstoel'],46,Gert Timmerman,['Gert Timmerman']
251,63,Melancholie,['Melancholie'],49,De Bambis / Rocco Granata / Peppino Di Capri,"['De Bambis ', ' Rocco Granata ', ' Peppino Di Capri']"
262,68,De Voddenraper Van Parijs,['De Voddenraper Van Parijs'],54,Johnny en Mary,['Johnny en Mary']
267,73,Hello Josephine,['Hello Josephine'],58,The Scorpions ((GBR)),['The Scorpions ((GBR))']
187,74,See See Rider,['See See Rider'],23,Johnny Kendall and The Heralds,['Johnny Kendall and The Heralds']
38,76,She Was An Angel/ Another Love Affair,"['She Was An Angel', ' Another Love Affair']",3,Adamo,['Adamo']
91,77,Like A Child,['Like A Child'],8,Julie Rogers,['Julie Rogers']
280,87,Ik Heb M'n Hart Op Katendrecht Verloren,"[""Ik Heb M'n Hart Op Katendrecht Verloren""]",63,Slome Japie,['Slome Japie']
281,88,Het Spel Kaarten,['Het Spel Kaarten'],64,Cowboy Gerard,['Cowboy Gerard']
