,year,week,positionNr,songID
0,1965,1,1,0Gm34HBxrXlaAf1jdJMjx2
1,1965,1,2,4HUKN6pphF8ES2G4qRSADr
2,1965,1,3,52HAHV1j93s5B8GoTNI7DJ
3,1965,1,4,0KMAeJK3CvG52XPpMAJjWF
4,1965,1,5,3hWAY20gL1X8kKEeJ3khmT
5,1965,1,6,1ivPaxFyaHT8rlphPx5vO8
6,1965,1,8,2c44jKCS2Z7wFsvYl0UC1T
7,1965,1,9,7aSoctqFvV0xx8jnMXUVcE
8,1965,1,10,4B4nWwOTtLRD1iVOBKAcVX
9,1965,1,11,6oZ33z5XHoLYZXmDSzg5A1
10,1965,1,13,1dXcUx5gQ8rkHctSsRnZuH
11,1965,1,15,5uM9zdUz8PpYJME9wZCM4W
12,1965,1,16,7sIfDrxNbsLkOOLmzWPijN
13,1965,1,17,5gmMa8nwzrkcPbHzSW3azN
14,1965,1,18,1wC7CB1j6mEFLDS5cNndxW
15,1965,1,20,5GHbWzjRy1XfnTf5rkA8bf
16,1965,1,21,4uUBLQQIgIBukx5nhzUyCi
17,1965,1,22,6Y3jzGG8N9fyQCUO3qEHYh
18,1965,1,23,6yz8hKpO3s2byra8Et3w9x
19,1965,1,24,1vrHimBjQvSSbmtc8tqC0p
20,1965,1,25,55rYhUqW04sNFMZbHy2Bwr
21,1965,1,26,7pd4f00gq8Rsg9PBkq8dhD
22,1965,1,27,2IzUfd8Dv5wfvLoe8yfpNA
23,1965,1,29,3r64bIVws38NHkJzSzQF3Y
24,1965,1,31,22dLbMQkxE1cpDpu4VM3zc
25,1965,1,32,4cHu5FO3Par7M6rX05gL6a
26,1965,1,33,3UF6tIuN5bRIE8VVqRkMOW
27,1965,1,34,6Fpx01AIqWKchEQ5M0s7a0
28,1965,1,36,0y4WLsDFcdhGEiyGrTXwV0
29,1965,1,37,252YuUdUaC5OojaBU0H1CP
30,1965,1,38,6TVWJ44dmJbeYb2p1bb6t5
31,1965,1,39,5mXz9WHwtBeLhv0zhkinMV
32,1965,1,40,49lytSpI9xviTrHs0OhYIo
33,1965,2,1,0Gm34HBxrXlaAf1jdJMjx2
34,1965,2,2,4HUKN6pphF8ES2G4qRSADr
35,1965,2,3,52HAHV1j93s5B8GoTNI7DJ
36,1965,2,4,4uUBLQQIgIBukx5nhzUyCi
37,1965,2,5,1ivPaxFyaHT8rlphPx5vO8
38,1965,2,6,3hWAY20gL1X8kKEeJ3khmT
39,1965,2,7,0KMAeJK3CvG52XPpMAJjWF
40,1965,2,8,5uM9zdUz8PpYJME9wZCM4W
41,1965,2,9,2IzUfd8Dv5wfvLoe8yfpNA
42,1965,2,10,7aSoctqFvV0xx8jnMXUVcE
43,1965,2,11,7sIfDrxNbsLkOOLmzWPijN
44,1965,2,12,4B4nWwOTtLRD1iVOBKAcVX
45,1965,2,13,2c44jKCS2Z7wFsvYl0UC1T
46,1965,2,15,252YuUdUaC5OojaBU0H1CP
47,1965,2,16,6yz8hKpO3s2byra8Et3w9x
48,1965,2,17,22dLbMQkxE1cpDpu4VM3zc
49,1965,2,18,55rYhUqW04sNFMZbHy2Bwr
50,1965,2,19,5gmMa8nwzrkcPbHzSW3azN
51,1965,2,20,4cHu5FO3Par7M6rX05gL6a
52,1965,2,21,7pd4f00gq8Rsg9PBkq8dhD
53,1965,2,22,5SG4cYB4PqLNTQMa7C5pPT
54,1965,2,23,1wC7CB1j6mEFLDS5cNndxW
55,1965,2,25,1dXcUx5gQ8rkHctSsRnZuH
56,1965,2,26,5mXz9WHwtBeLhv0zhkinMV
57,1965,2,29,3UF6tIuN5bRIE8VVqRkMOW
58,1965,2,30,2cqBR0FuG3DWjwnurXUFdK
59,1965,2,31,6oZ33z5XHoLYZXmDSzg5A1
60,1965,2,34,5b3hV6LfcYE35dFkgStKxH
61,1965,2,37,2oJaCsDjCujzOL75Oi3KaS
62,1965,2,39,0y4WLsDFcdhGEiyGrTXwV0
63,1965,2,40,5GHbWzjRy1XfnTf5rkA8bf
64,1965,3,1,0Gm34HBxrXlaAf1jdJMjx2
65,1965,3,2,4HUKN6pphF8ES2G4qRSADr
66,1965,3,3,52HAHV1j93s5B8GoTNI7DJ
67,1965,3,4,1ivPaxFyaHT8rlphPx5vO8
68,1965,3,5,2c44jKCS2Z7wFsvYl0UC1T
69,1965,3,6,4uUBLQQIgIBukx5nhzUyCi
70,1965,3,7,3hWAY20gL1X8kKEeJ3khmT
71,1965,3,8,2IzUfd8Dv5wfvLoe8yfpNA
72,1965,3,9,5uM9zdUz8PpYJME9wZCM4W
73,1965,3,10,0KMAeJK3CvG52XPpMAJjWF
74,1965,3,11,7aSoctqFvV0xx8jnMXUVcE
75,1965,3,12,4B4nWwOTtLRD1iVOBKAcVX
76,1965,3,13,252YuUdUaC5OojaBU0H1CP
77,1965,3,15,7sIfDrxNbsLkOOLmzWPijN
78,1965,3,16,3UF6tIuN5bRIE8VVqRkMOW
79,1965,3,17,5SG4cYB4PqLNTQMa7C5pPT
80,1965,3,18,5b3hV6LfcYE35dFkgStKxH
81,1965,3,19,5gmMa8nwzrkcPbHzSW3azN
82,1965,3,20,55rYhUqW04sNFMZbHy2Bwr
83,1965,3,21,6yz8hKpO3s2byra8Et3w9x
84,1965,3,23,22dLbMQkxE1cpDpu4VM3zc
85,1965,3,24,7pd4f00gq8Rsg9PBkq8dhD
86,1965,3,25,5mXz9WHwtBeLhv0zhkinMV
87,1965,3,26,0IuibArSm6qx3b2LxbJUmm
88,1965,3,27,2OW0NaUJzKWuj1t1TF1V1Z
89,1965,3,28,2zs6PnrBK2FscVOiGX0d1O
90,1965,3,29,4cHu5FO3Par7M6rX05gL6a
91,1965,3,30,6oZ33z5XHoLYZXmDSzg5A1
92,1965,3,31,5GHbWzjRy1XfnTf5rkA8bf
93,1965,3,32,6Y3jzGG8N9fyQCUO3qEHYh
94,1965,3,33,0cgiajsINixTKvztzeZGvk
95,1965,3,35,2oJaCsDjCujzOL75Oi3KaS
96,1965,3,36,4RJi2cYNOxfklHZZ7foR2y
97,1965,3,37,7nnjpu2Cbh9DUdSSp8hFJA
98,1965,3,38,1dXcUx5gQ8rkHctSsRnZuH
99,1965,3,40,1lcda1JopEv5CVVHmLz2ZO
100,1965,4,1,0Gm34HBxrXlaAf1jdJMjx2
101,1965,4,2,4HUKN6pphF8ES2G4qRSADr
102,1965,4,3,2IzUfd8Dv5wfvLoe8yfpNA
103,1965,4,4,2c44jKCS2Z7wFsvYl0UC1T
104,1965,4,5,4uUBLQQIgIBukx5nhzUyCi
105,1965,4,6,1ivPaxFyaHT8rlphPx5vO8
106,1965,4,7,2zs6PnrBK2FscVOiGX0d1O
107,1965,4,8,52HAHV1j93s5B8GoTNI7DJ
108,1965,4,9,5uM9zdUz8PpYJME9wZCM4W
109,1965,4,10,7aSoctqFvV0xx8jnMXUVcE
110,1965,4,11,0KMAeJK3CvG52XPpMAJjWF
111,1965,4,12,3hWAY20gL1X8kKEeJ3khmT
112,1965,4,13,252YuUdUaC5OojaBU0H1CP
113,1965,4,14,3UF6tIuN5bRIE8VVqRkMOW
114,1965,4,15,7sIfDrxNbsLkOOLmzWPijN
115,1965,4,16,4B4nWwOTtLRD1iVOBKAcVX
116,1965,4,18,0IuibArSm6qx3b2LxbJUmm
117,1965,4,19,5b3hV6LfcYE35dFkgStKxH
118,1965,4,21,7nnjpu2Cbh9DUdSSp8hFJA
119,1965,4,22,0cgiajsINixTKvztzeZGvk
120,1965,4,23,5SG4cYB4PqLNTQMa7C5pPT
121,1965,4,24,22dLbMQkxE1cpDpu4VM3zc
122,1965,4,25,55rYhUqW04sNFMZbHy2Bwr
123,1965,4,26,5gmMa8nwzrkcPbHzSW3azN
124,1965,4,27,2oJaCsDjCujzOL75Oi3KaS
125,1965,4,28,2OW0NaUJzKWuj1t1TF1V1Z
126,1965,4,30,6oZ33z5XHoLYZXmDSzg5A1
127,1965,4,31,4cHu5FO3Par7M6rX05gL6a
128,1965,4,32,1dXcUx5gQ8rkHctSsRnZuH
129,1965,4,34,6Y3jzGG8N9fyQCUO3qEHYh
130,1965,4,36,5mXz9WHwtBeLhv0zhkinMV
131,1965,4,38,5GHbWzjRy1XfnTf5rkA8bf
132,1965,4,39,2nWOcN5UJASzQQ4Ua7FCv3
133,1965,4,40,6yz8hKpO3s2byra8Et3w9x
134,1965,5,1,0Gm34HBxrXlaAf1jdJMjx2
135,1965,5,2,4HUKN6pphF8ES2G4qRSADr
136,1965,5,3,2IzUfd8Dv5wfvLoe8yfpNA
137,1965,5,4,2zs6PnrBK2FscVOiGX0d1O
138,1965,5,5,2c44jKCS2Z7wFsvYl0UC1T
139,1965,5,6,4uUBLQQIgIBukx5nhzUyCi
140,1965,5,7,0KMAeJK3CvG52XPpMAJjWF
141,1965,5,8,0cgiajsINixTKvztzeZGvk
142,1965,5,9,3UF6tIuN5bRIE8VVqRkMOW
143,1965,5,10,7aSoctqFvV0xx8jnMXUVcE
144,1965,5,11,1ivPaxFyaHT8rlphPx5vO8
145,1965,5,12,5uM9zdUz8PpYJME9wZCM4W
146,1965,5,13,7nnjpu2Cbh9DUdSSp8hFJA
147,1965,5,14,252YuUdUaC5OojaBU0H1CP
148,1965,5,15,52HAHV1j93s5B8GoTNI7DJ
149,1965,5,16,3hWAY20gL1X8kKEeJ3khmT
150,1965,5,18,7sIfDrxNbsLkOOLmzWPijN
151,1965,5,19,5b3hV6LfcYE35dFkgStKxH
152,1965,5,22,4B4nWwOTtLRD1iVOBKAcVX
153,1965,5,23,0IuibArSm6qx3b2LxbJUmm
154,1965,5,24,2oJaCsDjCujzOL75Oi3KaS
155,1965,5,25,5SG4cYB4PqLNTQMa7C5pPT
156,1965,5,26,2OW0NaUJzKWuj1t1TF1V1Z
157,1965,5,28,55rYhUqW04sNFMZbHy2Bwr
158,1965,5,29,5GHbWzjRy1XfnTf5rkA8bf
159,1965,5,30,4cHu5FO3Par7M6rX05gL6a
160,1965,5,31,22dLbMQkxE1cpDpu4VM3zc
161,1965,5,34,2nWOcN5UJASzQQ4Ua7FCv3
162,1965,5,35,5gmMa8nwzrkcPbHzSW3azN
163,1965,5,36,6Y3jzGG8N9fyQCUO3qEHYh
164,1965,5,37,6ksGt7P2fADVa2x3DgIJRE
165,1965,5,38,5mXz9WHwtBeLhv0zhkinMV
166,1965,5,39,5lz5nAO1HA7nntRU5k0IzH
167,1965,6,1,4HUKN6pphF8ES2G4qRSADr
168,1965,6,2,0Gm34HBxrXlaAf1jdJMjx2
169,1965,6,3,2zs6PnrBK2FscVOiGX0d1O
170,1965,6,4,2IzUfd8Dv5wfvLoe8yfpNA
171,1965,6,5,2c44jKCS2Z7wFsvYl0UC1T
172,1965,6,6,4uUBLQQIgIBukx5nhzUyCi
173,1965,6,7,0cgiajsINixTKvztzeZGvk
174,1965,6,9,0KMAeJK3CvG52XPpMAJjWF
175,1965,6,10,3UF6tIuN5bRIE8VVqRkMOW
176,1965,6,11,7aSoctqFvV0xx8jnMXUVcE
177,1965,6,12,6ksGt7P2fADVa2x3DgIJRE
178,1965,6,13,7nnjpu2Cbh9DUdSSp8hFJA
179,1965,6,14,252YuUdUaC5OojaBU0H1CP
180,1965,6,15,52HAHV1j93s5B8GoTNI7DJ
181,1965,6,16,1ivPaxFyaHT8rlphPx5vO8
182,1965,6,17,2OW0NaUJzKWuj1t1TF1V1Z
183,1965,6,18,5uM9zdUz8PpYJME9wZCM4W
184,1965,6,19,5b3hV6LfcYE35dFkgStKxH
185,1965,6,21,7sIfDrxNbsLkOOLmzWPijN
186,1965,6,22,55rYhUqW04sNFMZbHy2Bwr
187,1965,6,24,4B4nWwOTtLRD1iVOBKAcVX
188,1965,6,25,3hWAY20gL1X8kKEeJ3khmT
189,1965,6,26,0IuibArSm6qx3b2LxbJUmm
190,1965,6,29,5SG4cYB4PqLNTQMa7C5pPT
191,1965,6,30,5gmMa8nwzrkcPbHzSW3azN
192,1965,6,31,2oJaCsDjCujzOL75Oi3KaS
193,1965,6,32,38KTIenSEnoGNGLUrYdFLV
194,1965,6,33,5lz5nAO1HA7nntRU5k0IzH
195,1965,6,34,4cHu5FO3Par7M6rX05gL6a
196,1965,6,36,22dLbMQkxE1cpDpu4VM3zc
197,1965,6,37,5mXz9WHwtBeLhv0zhkinMV
198,1965,6,38,5GHbWzjRy1XfnTf5rkA8bf
199,1965,6,39,2nWOcN5UJASzQQ4Ua7FCv3
200,1965,6,40,4VU6RQBoryrzDh9YSFT7rz
201,1965,7,1,4HUKN6pphF8ES2G4qRSADr
202,1965,7,2,2zs6PnrBK2FscVOiGX0d1O
203,1965,7,4,0Gm34HBxrXlaAf1jdJMjx2
204,1965,7,5,2IzUfd8Dv5wfvLoe8yfpNA
205,1965,7,6,0cgiajsINixTKvztzeZGvk
206,1965,7,7,2c44jKCS2Z7wFsvYl0UC1T
207,1965,7,8,6ksGt7P2fADVa2x3DgIJRE
208,1965,7,9,4uUBLQQIgIBukx5nhzUyCi
209,1965,7,10,0KMAeJK3CvG52XPpMAJjWF
210,1965,7,11,7aSoctqFvV0xx8jnMXUVcE
211,1965,7,12,7nnjpu2Cbh9DUdSSp8hFJA
212,1965,7,13,3UF6tIuN5bRIE8VVqRkMOW
213,1965,7,14,2OW0NaUJzKWuj1t1TF1V1Z
214,1965,7,15,1ivPaxFyaHT8rlphPx5vO8
215,1965,7,16,252YuUdUaC5OojaBU0H1CP
216,1965,7,17,38KTIenSEnoGNGLUrYdFLV
217,1965,7,18,5b3hV6LfcYE35dFkgStKxH
218,1965,7,19,52HAHV1j93s5B8GoTNI7DJ
219,1965,7,20,55rYhUqW04sNFMZbHy2Bwr
220,1965,7,22,7sIfDrxNbsLkOOLmzWPijN
221,1965,7,23,5uM9zdUz8PpYJME9wZCM4W
222,1965,7,25,4B4nWwOTtLRD1iVOBKAcVX
223,1965,7,26,2nWOcN5UJASzQQ4Ua7FCv3
224,1965,7,28,5gmMa8nwzrkcPbHzSW3azN
225,1965,7,29,2oJaCsDjCujzOL75Oi3KaS
226,1965,7,30,1vrHimBjQvSSbmtc8tqC0p
227,1965,7,33,27K4ItIdSmWm9VKiteM5m2
228,1965,7,34,4VU6RQBoryrzDh9YSFT7rz
229,1965,7,35,3hWAY20gL1X8kKEeJ3khmT
230,1965,7,36,2ZIuoecgzGGVNJoeC57YVZ
231,1965,7,37,22dLbMQkxE1cpDpu4VM3zc
232,1965,7,38,2BHfvwa7gxhN7h0rxQMubR
233,1965,7,39,7sh5oYwMO2E4xFHAbZZUfL
234,1965,7,40,6vVpx5ax8Wow3TWB1yugA4
235,1965,8,2,4HUKN6pphF8ES2G4qRSADr
236,1965,8,3,2zs6PnrBK2FscVOiGX0d1O
237,1965,8,4,0Gm34HBxrXlaAf1jdJMjx2
238,1965,8,5,0cgiajsINixTKvztzeZGvk
239,1965,8,6,2IzUfd8Dv5wfvLoe8yfpNA
240,1965,8,7,6ksGt7P2fADVa2x3DgIJRE
241,1965,8,8,2c44jKCS2Z7wFsvYl0UC1T
242,1965,8,9,2OW0NaUJzKWuj1t1TF1V1Z
243,1965,8,10,2B3ArhTa6DRox1W4CJZ1dM
244,1965,8,11,7nnjpu2Cbh9DUdSSp8hFJA
245,1965,8,12,4uUBLQQIgIBukx5nhzUyCi
246,1965,8,13,3UF6tIuN5bRIE8VVqRkMOW
247,1965,8,14,7aSoctqFvV0xx8jnMXUVcE
248,1965,8,15,0KMAeJK3CvG52XPpMAJjWF
249,1965,8,16,38KTIenSEnoGNGLUrYdFLV
250,1965,8,17,1vrHimBjQvSSbmtc8tqC0p
251,1965,8,18,55rYhUqW04sNFMZbHy2Bwr
252,1965,8,19,5b3hV6LfcYE35dFkgStKxH
253,1965,8,21,1ivPaxFyaHT8rlphPx5vO8
254,1965,8,22,27K4ItIdSmWm9VKiteM5m2
255,1965,8,24,5uM9zdUz8PpYJME9wZCM4W
256,1965,8,25,252YuUdUaC5OojaBU0H1CP
257,1965,8,26,3wBa4fHWZMT9tLVPE7Cc1n
258,1965,8,28,2nWOcN5UJASzQQ4Ua7FCv3
259,1965,8,30,4VU6RQBoryrzDh9YSFT7rz
260,1965,8,31,7sIfDrxNbsLkOOLmzWPijN
261,1965,8,33,52HAHV1j93s5B8GoTNI7DJ
262,1965,8,34,3hWAY20gL1X8kKEeJ3khmT
263,1965,8,35,0GJX7vXqS15TlMaNR2myR6
264,1965,8,36,6IW5U4H5EkzznI0fCWlbzR
265,1965,8,39,2ZIuoecgzGGVNJoeC57YVZ
266,1965,8,40,2oJaCsDjCujzOL75Oi3KaS
267,1965,9,2,4HUKN6pphF8ES2G4qRSADr
268,1965,9,3,2zs6PnrBK2FscVOiGX0d1O
269,1965,9,4,2B3ArhTa6DRox1W4CJZ1dM
270,1965,9,5,0Gm34HBxrXlaAf1jdJMjx2
271,1965,9,6,0cgiajsINixTKvztzeZGvk
272,1965,9,7,6ksGt7P2fADVa2x3DgIJRE
273,1965,9,8,2OW0NaUJzKWuj1t1TF1V1Z
274,1965,9,9,2IzUfd8Dv5wfvLoe8yfpNA
275,1965,9,10,2c44jKCS2Z7wFsvYl0UC1T
276,1965,9,11,7nnjpu2Cbh9DUdSSp8hFJA
277,1965,9,12,7aSoctqFvV0xx8jnMXUVcE
