,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
6,6,In Der Mondhelle Nacht,['In Der Mondhelle Nacht'],6,Gert en Hermien Timmerman,['Gert en Hermien Timmerman'],[None],,,,[None],,
11,11,Ik Moet Altijd Weer Opnieuw Aan Je Denken,['Ik Moet Altijd Weer Opnieuw Aan Je Denken'],11,Edwin Rutten,['Edwin Rutten'],[None],,,,[None],,
13,13,Si J'etais Le Fils Du'n Roi,"[""Si J'etais Le Fils Du'n Roi""]",12,Marc Aryan,['Marc Aryan'],[None],,,,[None],,
18,18,Hup Hup Hup,['Hup Hup Hup'],16,Het Cocktail Trio,['Het Cocktail Trio'],[None],,,,[None],,
27,27,Everything's Allright,"[""Everything's Allright""]",22,The Newbeats,['The Newbeats'],[None],,,,[None],,
29,29,Schneemann,['Schneemann'],24,Manuela und Die 5 Dops,['Manuela und Die 5 Dops'],[None],,,,[None],,
34,34,Bianca Rosa,['Bianca Rosa'],28,René Carol,['René Carol'],[None],,,,[None],,
41,41,Du Darfst Nicht Weinen,['Du Darfst Nicht Weinen'],28,René Carol,['René Carol'],[None],,,,[None],,
43,43,Ik Vraag 't Aan De Sterren,"[""Ik Vraag 't Aan De Sterren""]",34,Trea Dobbs,['Trea Dobbs'],[None],,,,[None],,
44,44,Ni Nanai,['Ni Nanai'],35,Trio Hellenique,['Trio Hellenique'],[None],,,,[None],,
47,47,Ich Will Immer Auf Dich Warten,['Ich Will Immer Auf Dich Warten'],38,Brenda Lee,['Brenda Lee'],[None],,,,[None],,
49,49,Crazy Arms/ Colinda,"['Crazy Arms', ' Colinda']",1,Lucille Starr,['Lucille Starr'],[None],,,,[None],,
52,52,Let Kiss / Letkis / Letka Jenka / Letkis Jenka,"['Let Kiss ', ' Letkis ', ' Letka Jenka ', ' Letkis Jenka']",41,Orkest Gudrun Jankis / Stig Rauno / Jan Rohde & The Wild Ones / The Dutch Swing College Band,"['Orkest Gudrun Jankis ', ' Stig Rauno ', ' Jan Rohde & The Wild Ones ', ' The Dutch Swing College Band']",[None],,,,[None],,
58,58,Bergen Van Tirol,['Bergen Van Tirol'],45,Helma & Selma,['Helma & Selma'],[None],,,,[None],,
59,59,De Schommelstoel,['De Schommelstoel'],46,Gert Timmerman,['Gert Timmerman'],[None],,,,[None],,
63,63,Melancholie,['Melancholie'],49,De Bambis / Rocco Granata / Peppino Di Capri,"['De Bambis ', ' Rocco Granata ', ' Peppino Di Capri']",[None],,,,[None],,
73,73,Hello Josephine,['Hello Josephine'],58,The Scorpions ((GBR)),['The Scorpions ((GBR))'],[None],,,,[None],,
74,74,See See Rider,['See See Rider'],23,Johnny Kendall and The Heralds,['Johnny Kendall and The Heralds'],[None],,,,[None],,
76,76,She Was An Angel/ Another Love Affair,"['She Was An Angel', ' Another Love Affair']",3,Adamo,['Adamo'],[None],,,,[None],,
77,77,Like A Child,['Like A Child'],8,Julie Rogers,['Julie Rogers'],[None],,,,[None],,
87,87,Ik Heb M'n Hart Op Katendrecht Verloren,"[""Ik Heb M'n Hart Op Katendrecht Verloren""]",63,Slome Japie,['Slome Japie'],[None],,,,[None],,
88,88,Het Spel Kaarten,['Het Spel Kaarten'],64,Cowboy Gerard,['Cowboy Gerard'],[None],,,,[None],,
91,91,Stoppin' In Las Vegas,"[""Stoppin' In Las Vegas""]",67,Chubby Checker with ZZ & The Masks,"['Chubby Checker with ZZ & The Masks', 'Chubby Checker ']",[None],,,,[None],,
92,92,Ode Aan Jim Reeves,['Ode Aan Jim Reeves'],68,The Rodeo Riders,['The Rodeo Riders'],[None],,,,[None],,
112,112,Jolie Jacqueline,['Jolie Jacqueline'],1,Lucille Starr,['Lucille Starr'],[None],,,,[None],,
122,122,Ann-Louise,"['Ann-Louise', 'Ann']",58,The Scorpions ((GBR)),['The Scorpions ((GBR))'],[None],,,,[None],,
