acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.0904,0.564,139347,0.827,0Gm34HBxrXlaAf1jdJMjx2,3.73e-06,0.127,-7.089,1,0.0283,89.847,4,0.912
0.681,0.301,172547,0.375,4HUKN6pphF8ES2G4qRSADr,0.0,0.144,-9.76,1,0.0278,98.076,4,0.393
0.725,0.608,176933,0.582,52HAHV1j93s5B8GoTNI7DJ,0.0,0.0854,-9.734,1,0.0355,127.297,4,0.952
0.658,0.552,138213,0.614,0KMAeJK3CvG52XPpMAJjWF,0.0,0.522,-6.338,1,0.0315,109.003,3,0.7
0.753,0.513,141720,0.513,3hWAY20gL1X8kKEeJ3khmT,0.000131,0.0921,-8.35,1,0.026,86.336,4,0.877
0.789,0.515,180160,0.276,1ivPaxFyaHT8rlphPx5vO8,0.0,0.128,-12.535,1,0.0312,111.441,4,0.497
0.00827,0.604,182520,0.721,2c44jKCS2Z7wFsvYl0UC1T,0.000782,0.164,-6.19,1,0.0246,150.922,4,0.861
0.778,0.304,148413,0.33,7aSoctqFvV0xx8jnMXUVcE,4.9e-06,0.125,-12.894,1,0.0383,95.514,3,0.431
0.326,0.534,179133,0.646,4B4nWwOTtLRD1iVOBKAcVX,3.53e-06,0.0877,-8.939,1,0.0395,99.681,4,0.446
0.772,0.505,124067,0.345,6oZ33z5XHoLYZXmDSzg5A1,0.000499,0.125,-12.453,1,0.0294,104.98,4,0.649
0.722,0.417,164227,0.279,1dXcUx5gQ8rkHctSsRnZuH,0.0,0.407,-11.577,1,0.0287,79.964,3,0.453
0.776,0.594,156333,0.698,5uM9zdUz8PpYJME9wZCM4W,0.0,0.237,-6.524,0,0.0365,135.821,4,0.649
0.0632,0.524,245267,0.696,7sIfDrxNbsLkOOLmzWPijN,3.05e-06,0.643,-9.354,1,0.0971,122.106,4,0.459
0.247,0.563,142227,0.915,5gmMa8nwzrkcPbHzSW3azN,8.46e-05,0.0613,-5.062,1,0.08,136.345,4,0.71
