,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence,trackID
0,0.0904,https://api.spotify.com/v1/audio-analysis/0Gm34HBxrXlaAf1jdJMjx2,0.564,139347,0.827,0Gm34HBxrXlaAf1jdJMjx2,3.73e-06,7,0.127,-7.089,1,0.0283,89.847,4,https://api.spotify.com/v1/tracks/0Gm34HBxrXlaAf1jdJMjx2,audio_features,0.912,spotify:track:0Gm34HBxrXlaAf1jdJMjx2
1,0.681,https://api.spotify.com/v1/audio-analysis/4HUKN6pphF8ES2G4qRSADr,0.301,172547,0.375,4HUKN6pphF8ES2G4qRSADr,0.0,1,0.144,-9.76,1,0.0278,98.076,4,https://api.spotify.com/v1/tracks/4HUKN6pphF8ES2G4qRSADr,audio_features,0.393,spotify:track:4HUKN6pphF8ES2G4qRSADr
2,0.725,https://api.spotify.com/v1/audio-analysis/52HAHV1j93s5B8GoTNI7DJ,0.608,176933,0.582,52HAHV1j93s5B8GoTNI7DJ,0.0,9,0.0854,-9.734,1,0.0355,127.297,4,https://api.spotify.com/v1/tracks/52HAHV1j93s5B8GoTNI7DJ,audio_features,0.952,spotify:track:52HAHV1j93s5B8GoTNI7DJ
3,0.658,https://api.spotify.com/v1/audio-analysis/0KMAeJK3CvG52XPpMAJjWF,0.552,138213,0.614,0KMAeJK3CvG52XPpMAJjWF,0.0,8,0.522,-6.338,1,0.0315,109.003,3,https://api.spotify.com/v1/tracks/0KMAeJK3CvG52XPpMAJjWF,audio_features,0.7,spotify:track:0KMAeJK3CvG52XPpMAJjWF
4,0.753,https://api.spotify.com/v1/audio-analysis/3hWAY20gL1X8kKEeJ3khmT,0.513,141720,0.513,3hWAY20gL1X8kKEeJ3khmT,0.000131,5,0.0921,-8.35,1,0.026,86.336,4,https://api.spotify.com/v1/tracks/3hWAY20gL1X8kKEeJ3khmT,audio_features,0.877,spotify:track:3hWAY20gL1X8kKEeJ3khmT
5,0.789,https://api.spotify.com/v1/audio-analysis/1ivPaxFyaHT8rlphPx5vO8,0.515,180160,0.276,1ivPaxFyaHT8rlphPx5vO8,0.0,1,0.128,-12.535,1,0.0312,111.441,4,https://api.spotify.com/v1/tracks/1ivPaxFyaHT8rlphPx5vO8,audio_features,0.497,spotify:track:1ivPaxFyaHT8rlphPx5vO8
6,0.00827,https://api.spotify.com/v1/audio-analysis/2c44jKCS2Z7wFsvYl0UC1T,0.604,182520,0.721,2c44jKCS2Z7wFsvYl0UC1T,0.000782,9,0.164,-6.19,1,0.0246,150.922,4,https://api.spotify.com/v1/tracks/2c44jKCS2Z7wFsvYl0UC1T,audio_features,0.861,spotify:track:2c44jKCS2Z7wFsvYl0UC1T
7,0.778,https://api.spotify.com/v1/audio-analysis/7aSoctqFvV0xx8jnMXUVcE,0.304,148413,0.33,7aSoctqFvV0xx8jnMXUVcE,4.9e-06,8,0.125,-12.894,1,0.0383,95.514,3,https://api.spotify.com/v1/tracks/7aSoctqFvV0xx8jnMXUVcE,audio_features,0.431,spotify:track:7aSoctqFvV0xx8jnMXUVcE
8,0.326,https://api.spotify.com/v1/audio-analysis/4B4nWwOTtLRD1iVOBKAcVX,0.534,179133,0.646,4B4nWwOTtLRD1iVOBKAcVX,3.53e-06,5,0.0877,-8.939,1,0.0395,99.681,4,https://api.spotify.com/v1/tracks/4B4nWwOTtLRD1iVOBKAcVX,audio_features,0.446,spotify:track:4B4nWwOTtLRD1iVOBKAcVX
9,0.772,https://api.spotify.com/v1/audio-analysis/6oZ33z5XHoLYZXmDSzg5A1,0.505,124067,0.345,6oZ33z5XHoLYZXmDSzg5A1,0.000499,9,0.125,-12.453,1,0.0294,104.98,4,https://api.spotify.com/v1/tracks/6oZ33z5XHoLYZXmDSzg5A1,audio_features,0.649,spotify:track:6oZ33z5XHoLYZXmDSzg5A1
10,0.722,https://api.spotify.com/v1/audio-analysis/1dXcUx5gQ8rkHctSsRnZuH,0.417,164227,0.279,1dXcUx5gQ8rkHctSsRnZuH,0.0,7,0.407,-11.577,1,0.0287,79.964,3,https://api.spotify.com/v1/tracks/1dXcUx5gQ8rkHctSsRnZuH,audio_features,0.453,spotify:track:1dXcUx5gQ8rkHctSsRnZuH
11,0.776,https://api.spotify.com/v1/audio-analysis/5uM9zdUz8PpYJME9wZCM4W,0.594,156333,0.698,5uM9zdUz8PpYJME9wZCM4W,0.0,2,0.237,-6.524,0,0.0365,135.821,4,https://api.spotify.com/v1/tracks/5uM9zdUz8PpYJME9wZCM4W,audio_features,0.649,spotify:track:5uM9zdUz8PpYJME9wZCM4W
12,0.0632,https://api.spotify.com/v1/audio-analysis/7sIfDrxNbsLkOOLmzWPijN,0.524,245267,0.696,7sIfDrxNbsLkOOLmzWPijN,3.05e-06,6,0.643,-9.354,1,0.0971,122.106,4,https://api.spotify.com/v1/tracks/7sIfDrxNbsLkOOLmzWPijN,audio_features,0.459,spotify:track:7sIfDrxNbsLkOOLmzWPijN
13,0.247,https://api.spotify.com/v1/audio-analysis/5gmMa8nwzrkcPbHzSW3azN,0.563,142227,0.915,5gmMa8nwzrkcPbHzSW3azN,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,https://api.spotify.com/v1/tracks/5gmMa8nwzrkcPbHzSW3azN,audio_features,0.71,spotify:track:5gmMa8nwzrkcPbHzSW3azN
14,0.742,https://api.spotify.com/v1/audio-analysis/1wC7CB1j6mEFLDS5cNndxW,0.466,167133,0.295,1wC7CB1j6mEFLDS5cNndxW,0.0,8,0.0726,-12.858,1,0.0463,85.722,4,https://api.spotify.com/v1/tracks/1wC7CB1j6mEFLDS5cNndxW,audio_features,0.723,spotify:track:1wC7CB1j6mEFLDS5cNndxW
15,0.864,https://api.spotify.com/v1/audio-analysis/5GHbWzjRy1XfnTf5rkA8bf,0.563,214213,0.521,5GHbWzjRy1XfnTf5rkA8bf,0.0,11,0.216,-12.568,1,0.311,110.794,4,https://api.spotify.com/v1/tracks/5GHbWzjRy1XfnTf5rkA8bf,audio_features,0.653,spotify:track:5GHbWzjRy1XfnTf5rkA8bf
16,0.0761,https://api.spotify.com/v1/audio-analysis/4uUBLQQIgIBukx5nhzUyCi,0.732,185787,0.447,4uUBLQQIgIBukx5nhzUyCi,0.0506,7,0.0988,-11.76,1,0.0432,109.313,3,https://api.spotify.com/v1/tracks/4uUBLQQIgIBukx5nhzUyCi,audio_features,0.709,spotify:track:4uUBLQQIgIBukx5nhzUyCi
17,0.715,https://api.spotify.com/v1/audio-analysis/6Y3jzGG8N9fyQCUO3qEHYh,0.482,173653,0.471,6Y3jzGG8N9fyQCUO3qEHYh,0.00222,0,0.122,-9.751,1,0.0368,91.722,3,https://api.spotify.com/v1/tracks/6Y3jzGG8N9fyQCUO3qEHYh,audio_features,0.394,spotify:track:6Y3jzGG8N9fyQCUO3qEHYh
18,0.803,https://api.spotify.com/v1/audio-analysis/6yz8hKpO3s2byra8Et3w9x,0.562,151440,0.54,6yz8hKpO3s2byra8Et3w9x,3.86e-06,0,0.106,-7.875,1,0.0365,134.676,4,https://api.spotify.com/v1/tracks/6yz8hKpO3s2byra8Et3w9x,audio_features,0.793,spotify:track:6yz8hKpO3s2byra8Et3w9x
19,0.825,https://api.spotify.com/v1/audio-analysis/1vrHimBjQvSSbmtc8tqC0p,0.545,162424,0.557,1vrHimBjQvSSbmtc8tqC0p,0.0,0,0.108,-8.383,1,0.039,152.474,4,https://api.spotify.com/v1/tracks/1vrHimBjQvSSbmtc8tqC0p,audio_features,0.968,spotify:track:1vrHimBjQvSSbmtc8tqC0p
20,0.644,https://api.spotify.com/v1/audio-analysis/55rYhUqW04sNFMZbHy2Bwr,0.393,173964,0.705,55rYhUqW04sNFMZbHy2Bwr,0.000481,4,0.17,-7.461,1,0.0446,119.326,4,https://api.spotify.com/v1/tracks/55rYhUqW04sNFMZbHy2Bwr,audio_features,0.59,spotify:track:55rYhUqW04sNFMZbHy2Bwr
21,0.68,https://api.spotify.com/v1/audio-analysis/7pd4f00gq8Rsg9PBkq8dhD,0.665,139467,0.31,7pd4f00gq8Rsg9PBkq8dhD,0.0,2,0.0877,-8.928,1,0.0278,108.211,4,https://api.spotify.com/v1/tracks/7pd4f00gq8Rsg9PBkq8dhD,audio_features,0.568,spotify:track:7pd4f00gq8Rsg9PBkq8dhD
22,0.518,https://api.spotify.com/v1/audio-analysis/2IzUfd8Dv5wfvLoe8yfpNA,0.573,198667,0.413,2IzUfd8Dv5wfvLoe8yfpNA,0.0,3,0.148,-15.733,1,0.0435,119.435,4,https://api.spotify.com/v1/tracks/2IzUfd8Dv5wfvLoe8yfpNA,audio_features,0.574,spotify:track:2IzUfd8Dv5wfvLoe8yfpNA
23,0.918,https://api.spotify.com/v1/audio-analysis/3r64bIVws38NHkJzSzQF3Y,0.473,148200,0.626,3r64bIVws38NHkJzSzQF3Y,0.00259,2,0.0952,-7.585,1,0.0337,136.283,4,https://api.spotify.com/v1/tracks/3r64bIVws38NHkJzSzQF3Y,audio_features,0.32,spotify:track:3r64bIVws38NHkJzSzQF3Y
24,0.675,https://api.spotify.com/v1/audio-analysis/22dLbMQkxE1cpDpu4VM3zc,0.729,162307,0.637,22dLbMQkxE1cpDpu4VM3zc,0.0,7,0.217,-7.732,1,0.039,126.489,4,https://api.spotify.com/v1/tracks/22dLbMQkxE1cpDpu4VM3zc,audio_features,0.856,spotify:track:22dLbMQkxE1cpDpu4VM3zc
25,0.772,https://api.spotify.com/v1/audio-analysis/4cHu5FO3Par7M6rX05gL6a,0.719,154400,0.493,4cHu5FO3Par7M6rX05gL6a,0.0,1,0.328,-11.867,1,0.0546,128.215,4,https://api.spotify.com/v1/tracks/4cHu5FO3Par7M6rX05gL6a,audio_features,0.851,spotify:track:4cHu5FO3Par7M6rX05gL6a
26,0.416,https://api.spotify.com/v1/audio-analysis/3UF6tIuN5bRIE8VVqRkMOW,0.656,114733,0.582,3UF6tIuN5bRIE8VVqRkMOW,0.0,4,0.183,-12.535,1,0.0523,71.881,4,https://api.spotify.com/v1/tracks/3UF6tIuN5bRIE8VVqRkMOW,audio_features,0.919,spotify:track:3UF6tIuN5bRIE8VVqRkMOW
27,0.0672,https://api.spotify.com/v1/audio-analysis/6Fpx01AIqWKchEQ5M0s7a0,0.589,207308,0.628,6Fpx01AIqWKchEQ5M0s7a0,0.00119,0,0.0768,-8.498,1,0.0256,93.776,4,https://api.spotify.com/v1/tracks/6Fpx01AIqWKchEQ5M0s7a0,audio_features,0.483,spotify:track:6Fpx01AIqWKchEQ5M0s7a0
28,0.932,https://api.spotify.com/v1/audio-analysis/0y4WLsDFcdhGEiyGrTXwV0,0.401,120427,0.177,0y4WLsDFcdhGEiyGrTXwV0,0.0119,9,0.107,-17.993,1,0.0382,86.286,3,https://api.spotify.com/v1/tracks/0y4WLsDFcdhGEiyGrTXwV0,audio_features,0.344,spotify:track:0y4WLsDFcdhGEiyGrTXwV0
29,0.52,https://api.spotify.com/v1/audio-analysis/252YuUdUaC5OojaBU0H1CP,0.636,166667,0.684,252YuUdUaC5OojaBU0H1CP,0.0015,3,0.534,-9.302,1,0.057,132.509,4,https://api.spotify.com/v1/tracks/252YuUdUaC5OojaBU0H1CP,audio_features,0.881,spotify:track:252YuUdUaC5OojaBU0H1CP
30,0.521,https://api.spotify.com/v1/audio-analysis/6TVWJ44dmJbeYb2p1bb6t5,0.36,151693,0.838,6TVWJ44dmJbeYb2p1bb6t5,0.0,5,0.861,-4.208,1,0.0395,144.78,4,https://api.spotify.com/v1/tracks/6TVWJ44dmJbeYb2p1bb6t5,audio_features,0.868,spotify:track:6TVWJ44dmJbeYb2p1bb6t5
31,0.965,https://api.spotify.com/v1/audio-analysis/5mXz9WHwtBeLhv0zhkinMV,0.676,190160,0.174,5mXz9WHwtBeLhv0zhkinMV,0.858,11,0.126,-15.964,1,0.0452,84.066,4,https://api.spotify.com/v1/tracks/5mXz9WHwtBeLhv0zhkinMV,audio_features,0.596,spotify:track:5mXz9WHwtBeLhv0zhkinMV
32,0.257,https://api.spotify.com/v1/audio-analysis/49lytSpI9xviTrHs0OhYIo,0.682,163080,0.444,49lytSpI9xviTrHs0OhYIo,0.0,7,0.115,-7.689,1,0.0289,130.704,4,https://api.spotify.com/v1/tracks/49lytSpI9xviTrHs0OhYIo,audio_features,0.91,spotify:track:49lytSpI9xviTrHs0OhYIo
33,0.724,https://api.spotify.com/v1/audio-analysis/5SG4cYB4PqLNTQMa7C5pPT,0.257,137067,0.438,5SG4cYB4PqLNTQMa7C5pPT,0.0,5,0.136,-8.045,1,0.0346,180.919,3,https://api.spotify.com/v1/tracks/5SG4cYB4PqLNTQMa7C5pPT,audio_features,0.534,spotify:track:5SG4cYB4PqLNTQMa7C5pPT
