artistnames,trackName,trackID,albumID,artistIDs,firstNotation,lastNotation,amountOfNotations
['the beatles'],I Feel Fine - Remastered 2015,0Gm34HBxrXlaAf1jdJMjx2,5ju5Ouzan3QwXqQt1Tihbh,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,16
['lucille starr'],The French Song,4HUKN6pphF8ES2G4qRSADr,3UJ53cs8sG5UXOMMn1YUvo,['4RNkBRL7PGCeV9Ka4J3f8D'],1965,1965,19
['roy orbison'],"Oh, Pretty Woman",52HAHV1j93s5B8GoTNI7DJ,48CvRZSBT0FbOHKLFfHy0n,['0JDkhL4rjiPNEp92jAgJnS'],1965,1965,8
['adamo'],Dolce Paola,0KMAeJK3CvG52XPpMAJjWF,4VW7WEfGaGRGvBL2KylKrY,['26ycUCO6mpGAZPw9yHzhon'],1965,1965,12
['imca marina'],Harlekino,3hWAY20gL1X8kKEeJ3khmT,39BzI7vL8N9czgVxsstZO3,['43xjJMxn9QG0jEiBO3Hxe5'],1965,1965,8
['willeke alberti'],Mijn Dagboek,1ivPaxFyaHT8rlphPx5vO8,4oGOyj6OKbdClBPXjyePzl,['7monj8DXxygyUqgx7ncylV'],1965,1965,12
['cliff richard & the shadows'],I Could Easily Fall (In Love With You),2c44jKCS2Z7wFsvYl0UC1T,7xiIJnG6mFqA7G7YKSqLaU,['4IdvJZeciaa37wYr2qBpjm'],1965,1965,13
['julie rogers'],The Wedding,7aSoctqFvV0xx8jnMXUVcE,6miSz5apl4ikQlO4pkC6wr,['0TvxYJwhD6rqKvdMxgtVsO'],1965,1965,12
['the rolling stones'],Time Is On My Side - Remastered 2002,4B4nWwOTtLRD1iVOBKAcVX,4lzMSOfoyr3LsOuWeve5Cw,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,7
['jim reeves'],There's a Heartache Following Me,6oZ33z5XHoLYZXmDSzg5A1,38Xf22Z3Orr30ZshtSrBqg,['2Ev0e8GUIX4u7d9etNLTXg'],1965,1965,4
['roy orbison'],Pretty Paper,1dXcUx5gQ8rkHctSsRnZuH,48CvRZSBT0FbOHKLFfHy0n,['0JDkhL4rjiPNEp92jAgJnS'],1965,1965,4
['the supremes'],Baby Love - Juke Box Single Version,5uM9zdUz8PpYJME9wZCM4W,3W2FhBKieLAcrS4e9SHtr6,['57bUPid8xztkieZfS7OlEV'],1965,1965,9
['the rolling stones'],Tell Me,7sIfDrxNbsLkOOLmzWPijN,7Kln3VdaLUYVIFpqe7AuNA,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,10
['sandie shaw'],"(There's) Always Something There to Remind Me [From ""Made In Dagenham""]",1wC7CB1j6mEFLDS5cNndxW,26CGf6BwICc6rudK6QJc69,['5uxkcHbgyNbyzq1nyChvCa'],1965,1965,2
['lorne greene'],Ringo,5GHbWzjRy1XfnTf5rkA8bf,5aucUihOucqNfx4dUXOLHS,['7CHyTolf8RTuUaW4yYV52d'],1965,1965,6
['the rolling stones'],Little Red Rooster,4uUBLQQIgIBukx5nhzUyCi,6CNXUyFKuhAjKIDsV3m6kZ,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,12
['freddy quinn'],"Vergangen, vergessen, vorüber",6Y3jzGG8N9fyQCUO3qEHYh,48ARZZrMQkP4W7kGOoWr2T,['18mGtkaRoIjbOaGT1rykKP'],1965,1965,4
['the supremes'],Where Did Our Love Go - Stereo Version,6yz8hKpO3s2byra8Et3w9x,3W2FhBKieLAcrS4e9SHtr6,['57bUPid8xztkieZfS7OlEV'],1965,1965,4
['geschwister jacob'],Träume der Liebe,1vrHimBjQvSSbmtc8tqC0p,7djaHwG2fqz72zzmBVqLyp,['0GiB6ljD4TWrbHxlAX5ikj'],1965,1965,8
