,song_id,name_song,artist_id,name_artist,listOfNames2_artists,listOfNames_songs2,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
7184,7184,Do What You Want,3190,2 In A Room,['2 In A Room'],['Do What You Want'],[None],,,,[None],,
6634,6634,Tired Of Getting Pushed Around,2939,2 Men A Drum Machine & A Trumpet,"['2 Men A Drum Machine & A Trumpet', '2 Men A Drum Machine ', ' A Trumpet', '2 M', ' A Drum Machine & A Trumpet']",['Tired Of Getting Pushed Around'],[None],,,,[None],,
7994,7994,Have A Nice Day,3534,2 The Core,['2 The Core'],['Have A Nice Day'],[None],,,,[None],,
1462,1462,Mama Told Me No To Come,749,3 Dog Night,['3 Dog Night'],['Mama Told Me No To Come'],[None],,,,[None],,
9483,9483,Levenslang,4207,4 Fun,['4 Fun'],['Levenslang'],[None],,,,[None],,
9572,9572,Overal,4207,4 Fun,['4 Fun'],['Overal'],[None],,,,[None],,
5925,5925,All Of Me For All Of You,2645,9.9,['9.9'],['All Of Me For All Of You'],[None],,,,[None],,
6155,6155,You've Got Me Keyed Up,2745,A-nita ((Heilker)),"['A-nita ((Heilker))', 'A', 'nita ((Heilker))', 'A-nita ']","[""You've Got Me Keyed Up""]",[None],,,,[None],,
9491,9491,Crazy Little Partygirl,4182,Aaron Carter,['Aaron Carter'],['Crazy Little Partygirl'],[None],,,,[None],,
5104,5104,Giddyap A Gogo,2305,Ad Visser & Daniel Sahuleka,"['Ad Visser & Daniel Sahuleka', 'Ad Visser ', ' Daniel Sahuleka']",['Giddyap A Gogo'],[None],,,,[None],,
76,76,She Was An Angel/ Another Love Affair,3,Adamo,['Adamo'],"['She Was An Angel', ' Another Love Affair']",[None],,,,[None],,
1930,1930,"Wat Heb Je Gedaan, Daan?",980,Adèle Bloemendaal,"['Adèle Bloemendaal', 'Adèle Bloem', 'daal']","['Wat Heb Je Gedaan, Daan?']",[None],,,,[None],,
2205,2205,Hallelujah Kameraden,980,Adèle Bloemendaal,"['Adèle Bloemendaal', 'Adèle Bloem', 'daal']",['Hallelujah Kameraden'],[None],,,,[None],,
2471,2471,Zallemenut Nog 'n Keertje Overdoen,980,Adèle Bloemendaal,"['Adèle Bloemendaal', 'Adèle Bloem', 'daal']","[""Zallemenut Nog 'n Keertje Overdoen""]",[None],,,,[None],,
2747,2747,Een Lijster In De La,980,Adèle Bloemendaal,"['Adèle Bloemendaal', 'Adèle Bloem', 'daal']",['Een Lijster In De La'],[None],,,,[None],,
1220,1220,"We zijn toch op de wereld om mekaar te helpen, niewaar?",615,Adèle Bloemendaal & Leen Jongewaard & Piet Römer,"['Adèle Bloemendaal & Leen Jongewaard & Piet Römer', 'Adèle Bloemendaal ', ' Leen Jongewaard ', 'Adèle Bloem', 'daal & Le']","['We zijn toch op de wereld om mekaar te helpen, niewaar?']",[None],,,,[None],,
1260,1260,Het Zal Je Kind Maar Wezen,637,"Adèle Bloemendaal, Leen Jongewaard, Piet Römer en Koor","['Adèle Bloemendaal, Leen Jongewaard, Piet Römer en Koor', 'Adèle Bloemendaal', ' Leen Jongewaard', 'Adèle Bloem', 'daal, Le']",['Het Zal Je Kind Maar Wezen'],[None],,,,[None],,
1332,1332,As je mekaar niet meer vertrouwen kan...,637,"Adèle Bloemendaal, Leen Jongewaard, Piet Römer en Koor","['Adèle Bloemendaal, Leen Jongewaard, Piet Römer en Koor', 'Adèle Bloemendaal', ' Leen Jongewaard', 'Adèle Bloem', 'daal, Le']",['As je mekaar niet meer vertrouwen kan...'],[None],,,,[None],,
2886,2886,I'll Be Holding On,1348,Al Downing,['Al Downing'],"[""I'll Be Holding On""]",[None],,,,[None],,
5237,5237,Thought I'd Ring You,2361,Alain Delon & Shirley Bassey,"['Alain Delon & Shirley Bassey', 'Alain Delon ', ' Shirley Bassey']","[""Thought I'd Ring You""]",[None],,,,[None],,
471,471,Willow Weep For Me,189,Alan Price Set,['Alan Price Set'],['Willow Weep For Me'],[None],,,,[None],,
704,704,Shame,189,Alan Price Set,['Alan Price Set'],['Shame'],[None],,,,[None],,
