artist_id	name
0	The Beatles
1	Lucille Starr
2	Roy Orbison
3	Adamo
4	Imca Marina
5	Willeke Alberti
6	Gert en Hermien Timmerman
7	Cliff Richard
8	Julie Rogers
9	The Rolling Stones
10	Jim Reeves
11	Edwin Rutten
12	Marc Aryan
13	The Supremes
14	The Kinks
15	Sandie Shaw
16	Het Cocktail Trio
17	Lorne Greene
18	Freddy
19	Geschwister Jacob
20	Ronny
21	Petula Clark
22	The Newbeats
23	Johnny Kendall and The Heralds
24	Manuela und Die 5 Dops
25	ZZ en De Maskers - Vocal: Bob Bouber
26	Trini Lopez
27	Bobby Solo
28	René Carol
29	Jay and The Americans / Jay & The Americans
30	Manfred Mann
31	Los Indios Tabajaras
32	Gene Pitney
33	Freddie & The Dreamers
34	Trea Dobbs
35	Trio Hellenique
36	Rocco Granata
37	The Drifters
38	Brenda Lee
39	The Shadows
40	Chubby Checker
41	Orkest Gudrun Jankis / Stig Rauno / Jan Rohde & The Wild Ones / The Dutch Swing College Band
42	Wim Sonneveld
43	Georgie Fame and The Blue Flames
44	The Searchers
45	Helma & Selma
46	Gert Timmerman
47	P.J. Proby
48	Sounds Orchestral
49	De Bambis / Rocco Granata / Peppino Di Capri
50	Ronnie Tober
51	Drafi Deutscher
52	Bernd Spier
53	Siw Malmkvist
54	Johnny en Mary
55	The Righteous Brothers / Trea Dobbs / Cilla Black / The Righteous Brothers
56	Rein De Vries
57	Del Shannon
58	The Scorpions ((GBR))
59	The Moody Blues
60	The Seekers
61	Jewel Akens
62	Vic Dana / Bert Kaempfert and His Orchestra
63	Slome Japie
64	Cowboy Gerard
65	Dean Martin
66	The Animals
67	Chubby Checker with ZZ & The Masks
68	The Rodeo Riders
69	France Gall
70	Elvis
71	The Motions
72	Casey Jones & The Governors
73	Tom Jones
74	Guy Mardel
75	Beatles
76	Shirley Bassey / John Barry / ZZ & De Maskers / The Jets
77	Unit 4 + 2
78	The Everly Brothers / The Blue Diamonds
79	The Yardbirds
80	Donovan
81	Peter and Gordon
82	Roger Miller
83	Bob Dylan
84	The Pretty Things
85	Margie Ball
86	Sam The Sham and The Pharaohs
87	Wanda Jackson / Imca Marina / Ria Valk
88	Trio Hellenique / Duo Acropolis / Mikis Theodorakis / Trio Hellenique
89	Tony Bass / Leo Kuysters / Johnny en De Feestneuzen
90	The Everly Brothers
91	Nini Rosso / Heinz Schachtner / Willy Schobben & His Golden Trumpet And Orchestra
92	Herman's Hermits
93	The Beach Boys
94	The Byrds / The Hunters
95	The Hollies
96	Peggy March
97	Claudia Sylva
98	The Who
99	Jay & The Americans
100	Vic Dana
101	Johnny Lion
102	Dave Berry
103	The Ivy League
104	Guess Who?
105	The Fortunes
106	Max en Betsy Anders
107	Sonny & Cher
108	The Byrds / Chér
109	Dave Clark Five
110	The Righteous Brothers
111	Manfred Mann featuring Paul Jones
112	The Honeycombs
113	Marianne Faithfull
114	Billy Joe Royal
115	Johnny Hoes en De Stadiongangers
116	Jimmy Fontana
117	Jonathan King
118	Barry McGuire
119	The Golden Earrings
120	The Phantoms
121	Christophe
122	Shawn Elliott
123	Ria Valk
124	The Tielman Brothers
125	Hervé Vilard
126	Sonny ((Bono))
127	Sonny and Cher
128	Don Mercedes / Cowboy Gerard
129	The Shamrocks / The Renegades / De Maskers
130	Canadian Sweethearts: Lucille Starr en Bob Regan
131	The Mc Coys
132	The Ramsey Lewis Trio
133	Barbra Streisand
134	Boudewijn De Groot
135	Freddy Cannon
136	The Silkie
137	The Mounties
138	Andre Brasseur et Son Multisound Organ
139	Chris Andrews
140	The Gentrys
141	Chubby Checker with De Maskers / The Scorpions ((GBR))
142	The Byrds
143	Len Barry
144	Drafi Deutscher / Trea Dobbs
145	The Vogues / Petula Clark
146	Het
147	Bob Smit en het Duke City Sextet o.l.v. van Jan Bijlaart
148	Herb Alpert's Tijuana Brass
149	Roek Williams and The Fighting Cats & Orkest o.l.v. H. v Hoof Jr.
150	Ted De Braak
151	Simon & Garfunkel
152	Roy Black
153	The Beatles / The Overlanders
154	The Golden Ear-Rings
155	Jay-Jays / The Torero's
156	The Torero's
157	The Spencer Davis Group
158	Les Baroques
159	Milly Scott
160	Nancy Sinatra
161	Sjakie Schram
162	Ray Charles
163	Toon Hermans
164	Cilla Black
165	Johnny Hoes en Het Heya Heya Koor
166	Q65
167	Hu and The Hilltops
168	Crispian St. Peters
169	Small Faces
170	Udo Jürgens
171	The Mindbenders
172	Otis Redding
173	Al Martino
174	Bert Kaempfert and His Orchestra
175	De Maskers
176	Bob Smit en Het Duke City Sextet o.l.v. Jan Bijlaart
177	Conny Van Den Bos
178	The Lovin' Spoonful
179	Barry Sadler - Staff Sergeant U. S. Army Special Forces
180	The Walker Brothers
181	Cliff Richard and The Shadows
182	The Spencer Davis Group / Spencer Davis Group
183	Chér
184	The Jets / Crispian St. Peters
185	Gert, Hermien, Helen en Fred
186	The Peels / Het Cocktail Trio met medewerking van Fiet Koster
187	Lowland Trio
188	Neil Christian
189	Alan Price Set
190	Dusty Springfield
191	Yardbirds
192	The Mama's and The Papa's
193	Frank Sinatra
194	Roy "C"
195	The Hunters
196	Outsiders
197	Percy Sledge
198	The Troggs
199	Ross McManus and The Joe Loss Blue Beats
200	The Merseys
201	Michel Polnareff
202	The Rob Hoeke Rhythm and Blues Group
203	Betsy & Max Anders
204	Kinks
205	Will Andy / Micky Day
206	James Brown and The Famous Flames
207	InCrowd ((NLD))
208	Ike and Tina Turner / Phil Spector presents: Ike & Tina Turner
209	Yvonne de Nijs met The Feetwarmers o.l.v. Gaby Dirne
210	Ferre Grignard
211	David Garrick / The Rolling Stones
212	Tommy James and The Shondells
213	Karin Kent
