position	artist_id	song_id
1	989	4962
2	2250	4958
3	2255	4972
4	729	4978
5	1295	4973
6	2138	4967
7	1226	4957
8	2256	4979
9	1912	4974
10	2097	4980
11	2253	4968
12	2257	4982
13	2258	4983
14	1248	4959
15	2235	4912
16	638	4985
17	1931	4986
18	1808	4943
19	2241	4981
20	453	4990
21	2259	4987
22	1033	4991
23	1759	4992
24	2222	4964
25	2154	4988
26	2185	4969
27	2129	4976
28	2245	4950
29	2260	4993
30	1088	4989
31	2261	4994
32	2205	4995
33	2262	4996
34	2244	4947
35	1849	4984
36	2071	4970
37	2248	4954
38	7	4963
39	2137	4977
40	1586	4944
